#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
C9orf72	Rab1a	10090.ENSMUSP00000103762	10090.ENSMUSP00000127330	0	0	0	0.661	0.661
Gbf1	Rab1b	10090.ENSMUSP00000026254	10090.ENSMUSP00000025804	0	0.122	0.700	0	0.725
Gbf1	Uso1	10090.ENSMUSP00000026254	10090.ENSMUSP00000031355	0	0	0.500	0	0.499
Gbf1	Sec22b	10090.ENSMUSP00000026254	10090.ENSMUSP00000029476	0	0	0.500	0	0.499
Gbf1	Rab1a	10090.ENSMUSP00000026254	10090.ENSMUSP00000127330	0	0.122	0.700	0	0.725
Gdi1	Rab1b	10090.ENSMUSP00000015435	10090.ENSMUSP00000025804	0	0.372	0.500	0.074	0.683
Gdi1	Rab1a	10090.ENSMUSP00000015435	10090.ENSMUSP00000127330	0	0.372	0.500	0.074	0.683
Gdi2	Rab1b	10090.ENSMUSP00000152454	10090.ENSMUSP00000025804	0	0.372	0.500	0.074	0.683
Gdi2	Rab1a	10090.ENSMUSP00000152454	10090.ENSMUSP00000127330	0	0.372	0.500	0.217	0.732
Rab1a	Rab1b	10090.ENSMUSP00000127330	10090.ENSMUSP00000025804	0	0.213	0.900	0	0.917
Rab1a	Tbc1d20	10090.ENSMUSP00000127330	10090.ENSMUSP00000028963	0	0.247	0.700	0.169	0.795
Rab1a	Sec22b	10090.ENSMUSP00000127330	10090.ENSMUSP00000029476	0	0.222	0.500	0	0.594
Rab1a	Uso1	10090.ENSMUSP00000127330	10090.ENSMUSP00000031355	0	0.122	0.700	0.717	0.919
Rab1a	Slc36a4	10090.ENSMUSP00000127330	10090.ENSMUSP00000057355	0	0	0	0.866	0.866
Rab1a	Trappc1	10090.ENSMUSP00000127330	10090.ENSMUSP00000099661	0	0.382	0	0.445	0.642
Rab1b	Sec22b	10090.ENSMUSP00000025804	10090.ENSMUSP00000029476	0	0	0.500	0	0.499
Rab1b	Trappc1	10090.ENSMUSP00000025804	10090.ENSMUSP00000099661	0	0.382	0	0.445	0.642
Rab1b	Uso1	10090.ENSMUSP00000025804	10090.ENSMUSP00000031355	0	0.122	0.700	0.446	0.841
Rab1b	Tbc1d20	10090.ENSMUSP00000025804	10090.ENSMUSP00000028963	0	0.399	0.700	0.528	0.907
Sec22b	Uso1	10090.ENSMUSP00000029476	10090.ENSMUSP00000031355	0	0	0.500	0.154	0.558
