#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Gnai1	Gnat1	10090.ENSMUSP00000074259	10090.ENSMUSP00000010205	0	0	0.540	0	0.540
Gnai1	Gnaq	10090.ENSMUSP00000074259	10090.ENSMUSP00000025541	0	0	0.540	0.240	0.635
Gnai1	Ric8a	10090.ENSMUSP00000074259	10090.ENSMUSP00000026558	0	0.877	0	0	0.877
Gnai1	Gnao1	10090.ENSMUSP00000074259	10090.ENSMUSP00000148550	0	0.042	0.540	0.240	0.635
Gnao1	Gnat1	10090.ENSMUSP00000148550	10090.ENSMUSP00000010205	0	0	0.540	0	0.540
Gnao1	Gnaq	10090.ENSMUSP00000148550	10090.ENSMUSP00000025541	0	0.305	0.900	0.347	0.950
Gnao1	Ric8a	10090.ENSMUSP00000148550	10090.ENSMUSP00000026558	0	0.351	0	0.411	0.601
Gnaq	Gnat1	10090.ENSMUSP00000025541	10090.ENSMUSP00000010205	0	0	0.720	0	0.720
Gnaq	Ric8a	10090.ENSMUSP00000025541	10090.ENSMUSP00000026558	0	0.864	0	0.393	0.913
Gnat1	Ric8a	10090.ENSMUSP00000010205	10090.ENSMUSP00000026558	0	0.399	0	0.402	0.625
