#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Dcp2	Khsrp	10090.ENSMUSP00000025350	10090.ENSMUSP00000007814	0	0	0.500	0.436	0.705
Dcp2	Exosc9	10090.ENSMUSP00000025350	10090.ENSMUSP00000029269	0	0	0.500	0	0.499
Dcp2	Exosc7	10090.ENSMUSP00000025350	10090.ENSMUSP00000026891	0	0	0.500	0	0.499
Dcp2	Dicer1	10090.ENSMUSP00000025350	10090.ENSMUSP00000043676	0	0	0.720	0	0.720
Dcp2	Parn	10090.ENSMUSP00000025350	10090.ENSMUSP00000055969	0	0	0.800	0	0.800
Dicer1	Khsrp	10090.ENSMUSP00000043676	10090.ENSMUSP00000007814	0	0	0	0.818	0.818
Dicer1	Drosha	10090.ENSMUSP00000043676	10090.ENSMUSP00000129279	0	0	0.720	0.848	0.955
Drosha	Khsrp	10090.ENSMUSP00000129279	10090.ENSMUSP00000007814	0	0	0	0.764	0.764
Exosc7	Khsrp	10090.ENSMUSP00000026891	10090.ENSMUSP00000007814	0	0	0.500	0	0.499
Exosc7	Parn	10090.ENSMUSP00000026891	10090.ENSMUSP00000055969	0	0	0.500	0	0.499
Exosc7	Exosc9	10090.ENSMUSP00000026891	10090.ENSMUSP00000029269	0	0.728	0.800	0.990	0.999
Exosc9	Khsrp	10090.ENSMUSP00000029269	10090.ENSMUSP00000007814	0	0	0.500	0	0.499
Exosc9	Parn	10090.ENSMUSP00000029269	10090.ENSMUSP00000055969	0	0	0.500	0	0.499
Hnrnpd	Khsrp	10090.ENSMUSP00000132735	10090.ENSMUSP00000007814	0	0.292	0	0.593	0.699
Hnrnpd	Parn	10090.ENSMUSP00000132735	10090.ENSMUSP00000055969	0	0	0	0.415	0.414
Khsrp	Puf60	10090.ENSMUSP00000007814	10090.ENSMUSP00000098096	0	0.304	0	0.325	0.510
Khsrp	Ptbp2	10090.ENSMUSP00000007814	10090.ENSMUSP00000029780	0	0.222	0	0.459	0.561
Khsrp	Parn	10090.ENSMUSP00000007814	10090.ENSMUSP00000055969	0	0	0.500	0.655	0.820
Khsrp	Ywhaz	10090.ENSMUSP00000007814	10090.ENSMUSP00000022894	0	0	0.900	0.175	0.913
