#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Lama1	Lamb1	10090.ENSMUSP00000043957	10090.ENSMUSP00000002979	0	0.292	0.900	0.635	0.971
Lama1	Lama5	10090.ENSMUSP00000043957	10090.ENSMUSP00000015791	0	0.051	0.720	0.094	0.738
Lama1	Lamc1	10090.ENSMUSP00000043957	10090.ENSMUSP00000027752	0	0.299	0.800	0.379	0.905
Lama1	Lamc2	10090.ENSMUSP00000043957	10090.ENSMUSP00000027753	0	0.051	0.900	0.077	0.904
Lama1	Lamc3	10090.ENSMUSP00000043957	10090.ENSMUSP00000028187	0	0.051	0.400	0.077	0.428
Lama1	Pmp22	10090.ENSMUSP00000043957	10090.ENSMUSP00000104342	0	0	0.900	0	0.900
Lama1	Lama3	10090.ENSMUSP00000043957	10090.ENSMUSP00000089703	0	0.051	0.900	0.077	0.904
Lama1	Lama2	10090.ENSMUSP00000043957	10090.ENSMUSP00000090304	0	0.051	0.900	0.077	0.904
Lama1	Lamb2	10090.ENSMUSP00000043957	10090.ENSMUSP00000069087	0	0	0.900	0.159	0.912
Lama1	Lamb3	10090.ENSMUSP00000043957	10090.ENSMUSP00000142053	0	0	0.900	0.282	0.925
Lama2	Lamb1	10090.ENSMUSP00000090304	10090.ENSMUSP00000002979	0	0.122	0.800	0.455	0.895
Lama2	Lama5	10090.ENSMUSP00000090304	10090.ENSMUSP00000015791	0	0	0.400	0.138	0.460
Lama2	Lamc1	10090.ENSMUSP00000090304	10090.ENSMUSP00000027752	0	0.278	0.800	0.392	0.904
Lama2	Lamc2	10090.ENSMUSP00000090304	10090.ENSMUSP00000027753	0	0.278	0.400	0.198	0.622
Lama2	Lamc3	10090.ENSMUSP00000090304	10090.ENSMUSP00000028187	0	0.278	0.800	0.119	0.861
Lama2	Lamb2	10090.ENSMUSP00000090304	10090.ENSMUSP00000069087	0	0.122	0.800	0.126	0.833
