#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Oxsr1	Sec63	10090.ENSMUSP00000042155	10090.ENSMUSP00000019937	0	0.346	0	0.361	0.564
Oxsr1	Slc12a6	10090.ENSMUSP00000042155	10090.ENSMUSP00000028549	0	0.230	0	0.275	0.418
Oxsr1	Sec62	10090.ENSMUSP00000042155	10090.ENSMUSP00000029256	0	0.383	0	0.448	0.644
Oxsr1	Sec61a1	10090.ENSMUSP00000042155	10090.ENSMUSP00000032168	0	0.291	0	0.318	0.495
Oxsr1	Wnk1	10090.ENSMUSP00000042155	10090.ENSMUSP00000086017	0	0.357	0	0.169	0.443
Oxsr1	Sec61a2	10090.ENSMUSP00000042155	10090.ENSMUSP00000100046	0	0.291	0	0.318	0.495
Oxsr1	Sec61g	10090.ENSMUSP00000042155	10090.ENSMUSP00000132348	0	0.383	0	0.368	0.593
Oxsr1	Slc12a2	10090.ENSMUSP00000042155	10090.ENSMUSP00000111023	0	0.489	0	0.327	0.641
Sec61a1	Sec63	10090.ENSMUSP00000032168	10090.ENSMUSP00000019937	0	0.819	0	0.538	0.912
Sec61a1	Sec62	10090.ENSMUSP00000032168	10090.ENSMUSP00000029256	0	0.383	0	0.448	0.644
Sec61a1	Sec61a2	10090.ENSMUSP00000032168	10090.ENSMUSP00000100046	0	0	0.900	0	0.900
Sec61a1	Sec61g	10090.ENSMUSP00000032168	10090.ENSMUSP00000132348	0	0.479	0.900	0.447	0.968
Sec61a2	Sec63	10090.ENSMUSP00000100046	10090.ENSMUSP00000019937	0	0.819	0	0.538	0.912
Sec61a2	Sec62	10090.ENSMUSP00000100046	10090.ENSMUSP00000029256	0	0.383	0	0.448	0.644
Sec61a2	Sec61g	10090.ENSMUSP00000100046	10090.ENSMUSP00000132348	0	0.479	0.900	0.447	0.968
Sec61g	Sec63	10090.ENSMUSP00000132348	10090.ENSMUSP00000019937	0	0.810	0	0.471	0.895
Sec61g	Sec62	10090.ENSMUSP00000132348	10090.ENSMUSP00000029256	0	0.512	0	0.285	0.636
Sec62	Sec63	10090.ENSMUSP00000029256	10090.ENSMUSP00000019937	0	0.810	0.900	0.990	0.999
