#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ap4e1	Tbc1d5	10090.ENSMUSP00000002063	10090.ENSMUSP00000024717	0	0	0.720	0	0.720
Snx1	Snx6	10090.ENSMUSP00000034946	10090.ENSMUSP00000005798	0	0.445	0.720	0.985	0.997
Snx1	Snx3	10090.ENSMUSP00000034946	10090.ENSMUSP00000019939	0	0.324	0.720	0.225	0.840
Snx1	Tbc1d5	10090.ENSMUSP00000034946	10090.ENSMUSP00000024717	0	0.329	0.720	0	0.804
Snx1	Vps35	10090.ENSMUSP00000034946	10090.ENSMUSP00000034131	0	0.683	0.720	0.984	0.998
Snx1	Vps26b	10090.ENSMUSP00000034946	10090.ENSMUSP00000034470	0	0.555	0.720	0.446	0.925
Snx1	Snx27	10090.ENSMUSP00000034946	10090.ENSMUSP00000102904	0	0	0.720	0.822	0.948
Snx1	Vps29	10090.ENSMUSP00000034946	10090.ENSMUSP00000113525	0	0.594	0.720	0.980	0.997
Snx1	Vps26a	10090.ENSMUSP00000034946	10090.ENSMUSP00000090130	0	0.557	0.720	0.983	0.997
Snx1	Snx2	10090.ENSMUSP00000034946	10090.ENSMUSP00000039243	0	0.353	0.900	0.983	0.998
Snx2	Snx6	10090.ENSMUSP00000039243	10090.ENSMUSP00000005798	0	0.442	0.720	0.985	0.997
Snx2	Snx3	10090.ENSMUSP00000039243	10090.ENSMUSP00000019939	0	0.322	0.720	0.216	0.838
Snx2	Tbc1d5	10090.ENSMUSP00000039243	10090.ENSMUSP00000024717	0	0.326	0.720	0	0.803
Snx2	Vps35	10090.ENSMUSP00000039243	10090.ENSMUSP00000034131	0	0.583	0.720	0.971	0.996
Snx2	Vps26b	10090.ENSMUSP00000039243	10090.ENSMUSP00000034470	0	0.557	0.720	0.317	0.908
Snx2	Snx27	10090.ENSMUSP00000039243	10090.ENSMUSP00000102904	0	0.329	0.720	0.876	0.974
Snx2	Vps26a	10090.ENSMUSP00000039243	10090.ENSMUSP00000090130	0	0.556	0.720	0.938	0.991
Snx2	Vps29	10090.ENSMUSP00000039243	10090.ENSMUSP00000113525	0	0.591	0.720	0.965	0.995
Snx27	Snx6	10090.ENSMUSP00000102904	10090.ENSMUSP00000005798	0	0.329	0.720	0.599	0.918
Snx27	Snx3	10090.ENSMUSP00000102904	10090.ENSMUSP00000019939	0	0.324	0.720	0.538	0.905
Snx27	Tbc1d5	10090.ENSMUSP00000102904	10090.ENSMUSP00000024717	0	0.329	0.720	0	0.804
Snx27	Vps35	10090.ENSMUSP00000102904	10090.ENSMUSP00000034131	0	0	0.720	0.826	0.949
Snx27	Vps26b	10090.ENSMUSP00000102904	10090.ENSMUSP00000034470	0	0	0.720	0.713	0.916
Snx27	Vps26a	10090.ENSMUSP00000102904	10090.ENSMUSP00000090130	0	0.930	0.720	0.900	0.997
Snx27	Vps29	10090.ENSMUSP00000102904	10090.ENSMUSP00000113525	0	0.329	0.720	0.794	0.958
Snx3	Snx6	10090.ENSMUSP00000019939	10090.ENSMUSP00000005798	0	0.324	0.720	0.348	0.865
Snx3	Tbc1d5	10090.ENSMUSP00000019939	10090.ENSMUSP00000024717	0	0.323	0.720	0	0.802
Snx3	Vps26b	10090.ENSMUSP00000019939	10090.ENSMUSP00000034470	0	0.346	0.720	0.317	0.864
Snx3	Vps29	10090.ENSMUSP00000019939	10090.ENSMUSP00000113525	0	0.058	0.720	0.800	0.942
Snx3	Vps26a	10090.ENSMUSP00000019939	10090.ENSMUSP00000090130	0	0.570	0.720	0.814	0.975
Snx3	Vps35	10090.ENSMUSP00000019939	10090.ENSMUSP00000034131	0	0.609	0.720	0.855	0.982
Snx6	Vps26b	10090.ENSMUSP00000005798	10090.ENSMUSP00000034470	0	0	0.720	0.226	0.774
Snx6	Tbc1d5	10090.ENSMUSP00000005798	10090.ENSMUSP00000024717	0	0.329	0.720	0	0.804
Snx6	Vps26a	10090.ENSMUSP00000005798	10090.ENSMUSP00000090130	0	0.329	0.720	0.714	0.941
Snx6	Vps35	10090.ENSMUSP00000005798	10090.ENSMUSP00000034131	0	0.329	0.720	0.782	0.955
Snx6	Vps29	10090.ENSMUSP00000005798	10090.ENSMUSP00000113525	0	0.329	0.720	0.804	0.960
Tbc1d5	Vps26b	10090.ENSMUSP00000024717	10090.ENSMUSP00000034470	0	0.347	0.720	0.129	0.827
Tbc1d5	Vps35	10090.ENSMUSP00000024717	10090.ENSMUSP00000034131	0	0.352	0.720	0.505	0.902
Tbc1d5	Vps26a	10090.ENSMUSP00000024717	10090.ENSMUSP00000090130	0	0.381	0.720	0.647	0.933
Tbc1d5	Vps29	10090.ENSMUSP00000024717	10090.ENSMUSP00000113525	0	0.682	0.720	0.897	0.990
Vps26a	Vps35	10090.ENSMUSP00000090130	10090.ENSMUSP00000034131	0	0.938	0.900	0.989	0.999
Vps26a	Vps26b	10090.ENSMUSP00000090130	10090.ENSMUSP00000034470	0	0.494	0.900	0.216	0.956
Vps26a	Vps29	10090.ENSMUSP00000090130	10090.ENSMUSP00000113525	0	0.938	0.900	0.989	0.999
Vps26b	Vps35	10090.ENSMUSP00000034470	10090.ENSMUSP00000034131	0	0.705	0.900	0.989	0.999
Vps26b	Vps29	10090.ENSMUSP00000034470	10090.ENSMUSP00000113525	0	0.707	0.900	0.989	0.999
Vps29	Vps35	10090.ENSMUSP00000113525	10090.ENSMUSP00000034131	0	0.980	0.900	0.984	0.999
