#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Apoe	Lrp1	10090.ENSMUSP00000133302	10090.ENSMUSP00000044004	0	0	0.900	0.970	0.996
Calr	Hsp90aa1	10090.ENSMUSP00000003912	10090.ENSMUSP00000091921	0	0	0	0.752	0.752
Calr	Hsp90ab1	10090.ENSMUSP00000003912	10090.ENSMUSP00000024739	0	0	0	0.753	0.753
Calr	Hspa1b	10090.ENSMUSP00000003912	10090.ENSMUSP00000133815	0	0	0	0.795	0.795
Calr	Hsp90b1	10090.ENSMUSP00000003912	10090.ENSMUSP00000020238	0	0.302	0	0.792	0.848
Calr	Calr4	10090.ENSMUSP00000003912	10090.ENSMUSP00000030285	0	0	0.900	0.054	0.901
Calr	Lrp1	10090.ENSMUSP00000003912	10090.ENSMUSP00000044004	0	0	0	0.982	0.982
Calr4	Hsp90b1	10090.ENSMUSP00000030285	10090.ENSMUSP00000020238	0	0.075	0	0.740	0.749
Calr4	Hsp90ab1	10090.ENSMUSP00000030285	10090.ENSMUSP00000024739	0	0	0	0.755	0.755
Calr4	Hsp90aa1	10090.ENSMUSP00000030285	10090.ENSMUSP00000091921	0	0	0	0.755	0.755
Calr4	Hspa1b	10090.ENSMUSP00000030285	10090.ENSMUSP00000133815	0	0	0	0.797	0.797
Calr4	Lrp1	10090.ENSMUSP00000030285	10090.ENSMUSP00000044004	0	0	0	0.982	0.982
Dlg4	Lrp1	10090.ENSMUSP00000104229	10090.ENSMUSP00000044004	0	0.457	0	0.922	0.955
Hpx	Lrp1	10090.ENSMUSP00000033185	10090.ENSMUSP00000044004	0	0	0.700	0.957	0.986
Hsp90aa1	Hsp90b1	10090.ENSMUSP00000091921	10090.ENSMUSP00000020238	0	0	0.900	0	0.900
Hsp90aa1	Hsp90ab1	10090.ENSMUSP00000091921	10090.ENSMUSP00000024739	0	0.308	0.900	0	0.927
Hsp90aa1	Lrp1	10090.ENSMUSP00000091921	10090.ENSMUSP00000044004	0	0	0	0.982	0.982
Hsp90aa1	Hspa1b	10090.ENSMUSP00000091921	10090.ENSMUSP00000133815	0	0.207	0.400	0.984	0.992
Hsp90ab1	Hsp90b1	10090.ENSMUSP00000024739	10090.ENSMUSP00000020238	0	0	0.900	0.274	0.924
Hsp90ab1	Lrp1	10090.ENSMUSP00000024739	10090.ENSMUSP00000044004	0	0	0	0.982	0.982
Hsp90ab1	Hspa1b	10090.ENSMUSP00000024739	10090.ENSMUSP00000133815	0	0.414	0.400	0.984	0.994
Hsp90b1	Hspa1b	10090.ENSMUSP00000020238	10090.ENSMUSP00000133815	0	0.108	0	0.645	0.670
Hsp90b1	Lrp1	10090.ENSMUSP00000020238	10090.ENSMUSP00000044004	0	0	0	0.980	0.980
Hspa1b	Lrp1	10090.ENSMUSP00000133815	10090.ENSMUSP00000044004	0	0	0	0.982	0.982
Lrp1	Pzp	10090.ENSMUSP00000044004	10090.ENSMUSP00000107760	0	0	0	0.962	0.962
