#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Arcn1	Kdelr1	10090.ENSMUSP00000034607	10090.ENSMUSP00000002855	0	0	0.500	0	0.499
Arcn1	Arfgap2	10090.ENSMUSP00000034607	10090.ENSMUSP00000028691	0	0.800	0.500	0	0.895
Arcn1	Sec22b	10090.ENSMUSP00000034607	10090.ENSMUSP00000029476	0	0.299	0.500	0	0.634
Arcn1	Copb1	10090.ENSMUSP00000034607	10090.ENSMUSP00000033012	0	0.969	0.800	0.988	0.999
Arcn1	Arf3	10090.ENSMUSP00000034607	10090.ENSMUSP00000050689	0	0	0.500	0.150	0.556
Arcn1	Copg2	10090.ENSMUSP00000034607	10090.ENSMUSP00000038368	0	0.145	0.540	0.722	0.881
Arcn1	Copg1	10090.ENSMUSP00000034607	10090.ENSMUSP00000109237	0	0.821	0.540	0.904	0.991
Arcn1	Copz1	10090.ENSMUSP00000034607	10090.ENSMUSP00000097738	0	0.892	0.540	0.907	0.995
Arcn1	Copa	10090.ENSMUSP00000034607	10090.ENSMUSP00000118179	0	0.907	0.540	0.966	0.998
Arcn1	Copb2	10090.ENSMUSP00000034607	10090.ENSMUSP00000035033	0	0.903	0.540	0.968	0.998
Arf3	Kdelr1	10090.ENSMUSP00000050689	10090.ENSMUSP00000002855	0	0	0.500	0	0.499
Arf3	Arfgap2	10090.ENSMUSP00000050689	10090.ENSMUSP00000028691	0	0.239	0.500	0	0.603
Arf3	Sec22b	10090.ENSMUSP00000050689	10090.ENSMUSP00000029476	0	0	0.500	0	0.499
Arf3	Copb1	10090.ENSMUSP00000050689	10090.ENSMUSP00000033012	0	0.218	0.500	0.181	0.651
Arf3	Copb2	10090.ENSMUSP00000050689	10090.ENSMUSP00000035033	0	0.047	0.500	0	0.503
Arf3	Copg2	10090.ENSMUSP00000050689	10090.ENSMUSP00000038368	0	0.127	0.500	0.141	0.592
Arf3	Copa	10090.ENSMUSP00000050689	10090.ENSMUSP00000118179	0	0.047	0.500	0.112	0.539
Arf3	Copz1	10090.ENSMUSP00000050689	10090.ENSMUSP00000097738	0	0.082	0.500	0.130	0.565
Arf3	Copg1	10090.ENSMUSP00000050689	10090.ENSMUSP00000109237	0	0.127	0.500	0.141	0.592
Arfgap2	Kdelr1	10090.ENSMUSP00000028691	10090.ENSMUSP00000002855	0	0	0.500	0	0.499
Arfgap2	Sec22b	10090.ENSMUSP00000028691	10090.ENSMUSP00000029476	0	0.222	0.500	0	0.594
Arfgap2	Copg2	10090.ENSMUSP00000028691	10090.ENSMUSP00000038368	0	0.090	0.500	0.243	0.625
Arfgap2	Copz1	10090.ENSMUSP00000028691	10090.ENSMUSP00000097738	0	0.800	0.500	0	0.895
