#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Apc	Ctnnb1	10090.ENSMUSP00000078337	10090.ENSMUSP00000007130	0	0.805	0.900	0.921	0.998
Apc	Cacybp	10090.ENSMUSP00000078337	10090.ENSMUSP00000014370	0	0	0.720	0	0.720
Apc	Ctnnbip1	10090.ENSMUSP00000078337	10090.ENSMUSP00000030839	0	0.283	0.720	0	0.790
Apc	Siah1b	10090.ENSMUSP00000078337	10090.ENSMUSP00000043215	0	0.058	0.720	0	0.724
Apc	Siah1a	10090.ENSMUSP00000078337	10090.ENSMUSP00000044123	0	0.058	0.720	0	0.724
Apc	Axin1	10090.ENSMUSP00000078337	10090.ENSMUSP00000073974	0	0.723	0.900	0.984	0.999
Apc	Dact1	10090.ENSMUSP00000078337	10090.ENSMUSP00000117169	0	0	0.720	0	0.720
Apc	Skp1a	10090.ENSMUSP00000078337	10090.ENSMUSP00000104700	0	0	0.900	0.133	0.909
Apc	Gsk3b	10090.ENSMUSP00000078337	10090.ENSMUSP00000110398	0	0.457	0.800	0.984	0.998
Axin1	Ctnnb1	10090.ENSMUSP00000073974	10090.ENSMUSP00000007130	0	0.476	0.900	0.984	0.999
Axin1	Cacybp	10090.ENSMUSP00000073974	10090.ENSMUSP00000014370	0	0	0.720	0	0.720
Axin1	Ctnnbip1	10090.ENSMUSP00000073974	10090.ENSMUSP00000030839	0	0	0.720	0	0.720
Axin1	Siah1b	10090.ENSMUSP00000073974	10090.ENSMUSP00000043215	0	0.383	0.720	0	0.819
Axin1	Siah1a	10090.ENSMUSP00000073974	10090.ENSMUSP00000044123	0	0.383	0.720	0	0.819
Axin1	Skp1a	10090.ENSMUSP00000073974	10090.ENSMUSP00000104700	0	0	0.500	0.318	0.644
Axin1	Dact1	10090.ENSMUSP00000073974	10090.ENSMUSP00000117169	0	0	0.720	0	0.720
Axin1	Gsk3b	10090.ENSMUSP00000073974	10090.ENSMUSP00000110398	0	0.647	0.900	0.986	0.999
Cacybp	S100a6	10090.ENSMUSP00000014370	10090.ENSMUSP00000001051	0	0.675	0	0.965	0.988
Cacybp	Ctnnb1	10090.ENSMUSP00000014370	10090.ENSMUSP00000007130	0	0.125	0.720	0	0.744
Cacybp	Dact1	10090.ENSMUSP00000014370	10090.ENSMUSP00000117169	0	0	0.720	0	0.720
Cacybp	Gsk3b	10090.ENSMUSP00000014370	10090.ENSMUSP00000110398	0	0	0.720	0	0.720
Cacybp	Ctnnbip1	10090.ENSMUSP00000014370	10090.ENSMUSP00000030839	0	0	0.720	0	0.720
Cacybp	Siah1b	10090.ENSMUSP00000014370	10090.ENSMUSP00000043215	0	0.385	0.900	0.538	0.969
Cacybp	Siah1a	10090.ENSMUSP00000014370	10090.ENSMUSP00000044123	0	0.545	0.900	0.538	0.977
Cacybp	Skp1a	10090.ENSMUSP00000014370	10090.ENSMUSP00000104700	0	0.462	0.900	0.851	0.991
Ctnnb1	Dact1	10090.ENSMUSP00000007130	10090.ENSMUSP00000117169	0	0	0.720	0	0.720
Ctnnb1	Siah1b	10090.ENSMUSP00000007130	10090.ENSMUSP00000043215	0	0	0.900	0	0.900
Ctnnb1	Siah1a	10090.ENSMUSP00000007130	10090.ENSMUSP00000044123	0	0	0.900	0	0.900
Ctnnb1	Skp1a	10090.ENSMUSP00000007130	10090.ENSMUSP00000104700	0	0.511	0.500	0.839	0.957
Ctnnb1	Ctnnbip1	10090.ENSMUSP00000007130	10090.ENSMUSP00000030839	0	0.751	0.900	0.911	0.997
Ctnnb1	Gsk3b	10090.ENSMUSP00000007130	10090.ENSMUSP00000110398	0	0.481	0.900	0.982	0.998
Ctnnbip1	Siah1b	10090.ENSMUSP00000030839	10090.ENSMUSP00000043215	0	0	0.720	0	0.720
Ctnnbip1	Gsk3b	10090.ENSMUSP00000030839	10090.ENSMUSP00000110398	0	0	0.720	0	0.720
Ctnnbip1	Siah1a	10090.ENSMUSP00000030839	10090.ENSMUSP00000044123	0	0	0.720	0	0.720
Ctnnbip1	Dact1	10090.ENSMUSP00000030839	10090.ENSMUSP00000117169	0	0	0.720	0	0.720
Dact1	Siah1b	10090.ENSMUSP00000117169	10090.ENSMUSP00000043215	0	0	0.720	0	0.720
Dact1	Siah1a	10090.ENSMUSP00000117169	10090.ENSMUSP00000044123	0	0	0.720	0	0.720
Dact1	Gsk3b	10090.ENSMUSP00000117169	10090.ENSMUSP00000110398	0	0.292	0.720	0.319	0.853
Gsk3b	Siah1b	10090.ENSMUSP00000110398	10090.ENSMUSP00000043215	0	0	0.720	0	0.720
Gsk3b	Siah1a	10090.ENSMUSP00000110398	10090.ENSMUSP00000044123	0	0	0.720	0	0.720
Gsk3b	Skp1a	10090.ENSMUSP00000110398	10090.ENSMUSP00000104700	0	0	0.500	0	0.499
S100a6	Siah1a	10090.ENSMUSP00000001051	10090.ENSMUSP00000044123	0	0	0	0.538	0.538
S100a6	Siah1b	10090.ENSMUSP00000001051	10090.ENSMUSP00000043215	0	0	0	0.538	0.538
Siah1a	Siah1b	10090.ENSMUSP00000044123	10090.ENSMUSP00000043215	0	0	0.900	0	0.900
Siah1a	Skp1a	10090.ENSMUSP00000044123	10090.ENSMUSP00000104700	0	0	0	0.476	0.476
Siah1b	Skp1a	10090.ENSMUSP00000043215	10090.ENSMUSP00000104700	0	0	0	0.476	0.476
