#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Serpinb1a	Serpinb9b	10090.ENSMUSP00000075690	10090.ENSMUSP00000006392	0	0	0	0.670	0.670
Serpinb1a	Serpinb9c	10090.ENSMUSP00000075690	10090.ENSMUSP00000021837	0	0	0	0.669	0.669
Serpinb1a	Serpinb9d	10090.ENSMUSP00000075690	10090.ENSMUSP00000067710	0	0	0	0.670	0.670
Serpinb1a	Serpinb9f	10090.ENSMUSP00000075690	10090.ENSMUSP00000074958	0	0	0	0.670	0.670
Serpinb1a	Serpinb6c	10090.ENSMUSP00000075690	10090.ENSMUSP00000127619	0	0	0	0.670	0.670
Serpinb1a	Serpinb9g	10090.ENSMUSP00000075690	10090.ENSMUSP00000080597	0	0	0	0.670	0.670
Serpinb1a	Serpinb6e	10090.ENSMUSP00000075690	10090.ENSMUSP00000105904	0	0	0	0.670	0.670
Serpinb1a	Serpinb8	10090.ENSMUSP00000075690	10090.ENSMUSP00000108326	0	0	0	0.670	0.670
Serpinb1a	Serpinb7	10090.ENSMUSP00000075690	10090.ENSMUSP00000083896	0	0	0	0.670	0.670
Serpinb1a	Serpinb5	10090.ENSMUSP00000075690	10090.ENSMUSP00000108350	0	0.222	0	0.669	0.731
Serpinb5	Serpinb9b	10090.ENSMUSP00000108350	10090.ENSMUSP00000006392	0	0	0	0.669	0.669
Serpinb5	Serpinb9c	10090.ENSMUSP00000108350	10090.ENSMUSP00000021837	0	0	0	0.669	0.669
Serpinb5	Serpinb9d	10090.ENSMUSP00000108350	10090.ENSMUSP00000067710	0	0	0	0.669	0.669
Serpinb5	Serpinb9f	10090.ENSMUSP00000108350	10090.ENSMUSP00000074958	0	0	0	0.669	0.669
Serpinb5	Serpinb9g	10090.ENSMUSP00000108350	10090.ENSMUSP00000080597	0	0	0	0.670	0.670
Serpinb5	Serpinb7	10090.ENSMUSP00000108350	10090.ENSMUSP00000083896	0	0	0	0.669	0.669
Serpinb5	Serpinb6e	10090.ENSMUSP00000108350	10090.ENSMUSP00000105904	0	0	0	0.670	0.670
Serpinb5	Serpinb8	10090.ENSMUSP00000108350	10090.ENSMUSP00000108326	0	0	0	0.669	0.669
Serpinb5	Serpinb6c	10090.ENSMUSP00000108350	10090.ENSMUSP00000127619	0	0	0	0.670	0.670
Serpinb6c	Serpinb9b	10090.ENSMUSP00000127619	10090.ENSMUSP00000006392	0	0	0	0.669	0.669
Serpinb6c	Serpinb9c	10090.ENSMUSP00000127619	10090.ENSMUSP00000021837	0	0	0	0.669	0.669
Serpinb6c	Serpinb9d	10090.ENSMUSP00000127619	10090.ENSMUSP00000067710	0	0	0	0.669	0.669
Serpinb6c	Serpinb9f	10090.ENSMUSP00000127619	10090.ENSMUSP00000074958	0	0	0	0.669	0.669
Serpinb6c	Serpinb9g	10090.ENSMUSP00000127619	10090.ENSMUSP00000080597	0	0	0	0.669	0.669
Serpinb6c	Serpinb7	10090.ENSMUSP00000127619	10090.ENSMUSP00000083896	0	0	0	0.670	0.670
Serpinb6c	Serpinb6e	10090.ENSMUSP00000127619	10090.ENSMUSP00000105904	0	0	0.720	0.670	0.903
Serpinb6c	Serpinb8	10090.ENSMUSP00000127619	10090.ENSMUSP00000108326	0	0	0	0.670	0.670
Serpinb6e	Serpinb9b	10090.ENSMUSP00000105904	10090.ENSMUSP00000006392	0	0	0	0.670	0.670
Serpinb6e	Serpinb9c	10090.ENSMUSP00000105904	10090.ENSMUSP00000021837	0	0	0	0.670	0.670
Serpinb6e	Serpinb9d	10090.ENSMUSP00000105904	10090.ENSMUSP00000067710	0	0	0	0.670	0.670
Serpinb6e	Serpinb9f	10090.ENSMUSP00000105904	10090.ENSMUSP00000074958	0	0	0	0.670	0.670
Serpinb6e	Serpinb9g	10090.ENSMUSP00000105904	10090.ENSMUSP00000080597	0	0	0	0.670	0.670
Serpinb6e	Serpinb7	10090.ENSMUSP00000105904	10090.ENSMUSP00000083896	0	0	0	0.670	0.670
Serpinb6e	Serpinb8	10090.ENSMUSP00000105904	10090.ENSMUSP00000108326	0	0	0	0.670	0.670
Serpinb7	Serpinb9b	10090.ENSMUSP00000083896	10090.ENSMUSP00000006392	0	0	0	0.670	0.670
Serpinb7	Serpinb9c	10090.ENSMUSP00000083896	10090.ENSMUSP00000021837	0	0	0	0.670	0.670
Serpinb7	Serpinb9d	10090.ENSMUSP00000083896	10090.ENSMUSP00000067710	0	0	0	0.670	0.670
Serpinb7	Serpinb9f	10090.ENSMUSP00000083896	10090.ENSMUSP00000074958	0	0	0	0.670	0.670
Serpinb7	Serpinb9g	10090.ENSMUSP00000083896	10090.ENSMUSP00000080597	0	0	0	0.670	0.670
Serpinb7	Serpinb8	10090.ENSMUSP00000083896	10090.ENSMUSP00000108326	0	0	0	0.670	0.670
Serpinb8	Serpinb9b	10090.ENSMUSP00000108326	10090.ENSMUSP00000006392	0	0	0	0.670	0.670
Serpinb8	Serpinb9c	10090.ENSMUSP00000108326	10090.ENSMUSP00000021837	0	0	0	0.670	0.670
Serpinb8	Serpinb9d	10090.ENSMUSP00000108326	10090.ENSMUSP00000067710	0	0	0	0.669	0.669
Serpinb8	Serpinb9f	10090.ENSMUSP00000108326	10090.ENSMUSP00000074958	0	0	0	0.669	0.669
