#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abcb9	Calr	10090.ENSMUSP00000031354	10090.ENSMUSP00000003912	0	0	0.540	0.071	0.554
Abcb9	Tapbp	10090.ENSMUSP00000031354	10090.ENSMUSP00000025161	0	0	0.540	0	0.540
Abcb9	H2-K1	10090.ENSMUSP00000031354	10090.ENSMUSP00000025181	0	0	0.540	0	0.540
Abcb9	Tap2	10090.ENSMUSP00000031354	10090.ENSMUSP00000025197	0	0.344	0.540	0	0.685
Abcb9	Pdia3	10090.ENSMUSP00000031354	10090.ENSMUSP00000028683	0	0	0.540	0	0.540
Abcb9	H2-D1	10090.ENSMUSP00000031354	10090.ENSMUSP00000134570	0	0	0.540	0	0.540
Abcb9	H2-T3	10090.ENSMUSP00000031354	10090.ENSMUSP00000099736	0	0	0.540	0	0.540
Abcb9	H2-Q6	10090.ENSMUSP00000031354	10090.ENSMUSP00000134550	0	0	0.540	0	0.540
Abcb9	B2m	10090.ENSMUSP00000031354	10090.ENSMUSP00000099534	0	0	0.540	0	0.540
Abcb9	Tap1	10090.ENSMUSP00000031354	10090.ENSMUSP00000128401	0	0	0.540	0	0.540
B2m	Calr	10090.ENSMUSP00000099534	10090.ENSMUSP00000003912	0	0.145	0.540	0.982	0.992
B2m	Tapbp	10090.ENSMUSP00000099534	10090.ENSMUSP00000025161	0	0.242	0.720	0.963	0.991
B2m	H2-K1	10090.ENSMUSP00000099534	10090.ENSMUSP00000025181	0	0.965	0.720	0.625	0.996
B2m	Tap2	10090.ENSMUSP00000099534	10090.ENSMUSP00000025197	0	0	0.720	0	0.720
B2m	Pdia3	10090.ENSMUSP00000099534	10090.ENSMUSP00000028683	0	0.134	0.800	0.974	0.995
B2m	H2-Q6	10090.ENSMUSP00000099534	10090.ENSMUSP00000134550	0	0.180	0.720	0.043	0.761
B2m	Tap1	10090.ENSMUSP00000099534	10090.ENSMUSP00000128401	0	0.292	0.720	0	0.793
B2m	H2-T3	10090.ENSMUSP00000099534	10090.ENSMUSP00000099736	0	0.865	0.720	0.043	0.960
B2m	H2-D1	10090.ENSMUSP00000099534	10090.ENSMUSP00000134570	0	0.965	0.720	0.111	0.990
Calr	H2-T3	10090.ENSMUSP00000003912	10090.ENSMUSP00000099736	0	0.060	0.650	0	0.656
Calr	H2-Q6	10090.ENSMUSP00000003912	10090.ENSMUSP00000134550	0	0.060	0.650	0	0.656
Calr	H2-K1	10090.ENSMUSP00000003912	10090.ENSMUSP00000025181	0	0.060	0.650	0	0.656
Calr	H2-D1	10090.ENSMUSP00000003912	10090.ENSMUSP00000134570	0	0.060	0.650	0	0.656
Calr	Tap1	10090.ENSMUSP00000003912	10090.ENSMUSP00000128401	0	0	0.900	0.199	0.916
Calr	Tap2	10090.ENSMUSP00000003912	10090.ENSMUSP00000025197	0	0	0.900	0.607	0.959
Calr	Pdia3	10090.ENSMUSP00000003912	10090.ENSMUSP00000028683	0	0.491	0.800	0.984	0.998
Calr	Tapbp	10090.ENSMUSP00000003912	10090.ENSMUSP00000025161	0	0.382	0.900	0.983	0.998
H2-D1	Tapbp	10090.ENSMUSP00000134570	10090.ENSMUSP00000025161	0	0.317	0.720	0.066	0.805
H2-D1	H2-K1	10090.ENSMUSP00000134570	10090.ENSMUSP00000025181	0	0	0.720	0	0.720
H2-D1	Tap2	10090.ENSMUSP00000134570	10090.ENSMUSP00000025197	0	0	0.720	0	0.720
H2-D1	Pdia3	10090.ENSMUSP00000134570	10090.ENSMUSP00000028683	0	0.075	0.720	0	0.729
H2-D1	H2-T3	10090.ENSMUSP00000134570	10090.ENSMUSP00000099736	0	0	0.720	0	0.720
H2-D1	Tap1	10090.ENSMUSP00000134570	10090.ENSMUSP00000128401	0	0	0.720	0	0.720
H2-D1	H2-Q6	10090.ENSMUSP00000134570	10090.ENSMUSP00000134550	0	0	0.720	0	0.720
H2-K1	Tapbp	10090.ENSMUSP00000025181	10090.ENSMUSP00000025161	0	0.075	0.720	0.066	0.736
H2-K1	H2-T3	10090.ENSMUSP00000025181	10090.ENSMUSP00000099736	0	0	0.720	0	0.720
H2-K1	Tap2	10090.ENSMUSP00000025181	10090.ENSMUSP00000025197	0	0	0.720	0	0.720
H2-K1	Tap1	10090.ENSMUSP00000025181	10090.ENSMUSP00000128401	0	0	0.720	0	0.720
H2-K1	H2-Q6	10090.ENSMUSP00000025181	10090.ENSMUSP00000134550	0	0	0.720	0	0.720
H2-K1	Pdia3	10090.ENSMUSP00000025181	10090.ENSMUSP00000028683	0	0.075	0.720	0	0.729
H2-Q6	Tapbp	10090.ENSMUSP00000134550	10090.ENSMUSP00000025161	0	0.075	0.720	0.125	0.753
H2-Q6	Tap2	10090.ENSMUSP00000134550	10090.ENSMUSP00000025197	0	0	0.720	0	0.720
H2-Q6	Pdia3	10090.ENSMUSP00000134550	10090.ENSMUSP00000028683	0	0.075	0.720	0	0.729
H2-Q6	H2-T3	10090.ENSMUSP00000134550	10090.ENSMUSP00000099736	0	0	0.720	0	0.720
H2-Q6	Tap1	10090.ENSMUSP00000134550	10090.ENSMUSP00000128401	0	0	0.720	0	0.720
H2-T3	Tapbp	10090.ENSMUSP00000099736	10090.ENSMUSP00000025161	0	0.075	0.720	0.066	0.736
H2-T3	Tap2	10090.ENSMUSP00000099736	10090.ENSMUSP00000025197	0	0	0.720	0	0.720
H2-T3	Pdia3	10090.ENSMUSP00000099736	10090.ENSMUSP00000028683	0	0.075	0.720	0	0.729
H2-T3	Tap1	10090.ENSMUSP00000099736	10090.ENSMUSP00000128401	0	0	0.720	0	0.720
Pdia3	Tapbp	10090.ENSMUSP00000028683	10090.ENSMUSP00000025161	0	0.466	0.900	0.982	0.998
Pdia3	Tap2	10090.ENSMUSP00000028683	10090.ENSMUSP00000025197	0	0	0.900	0.387	0.936
Pdia3	Tap1	10090.ENSMUSP00000028683	10090.ENSMUSP00000128401	0	0	0.900	0	0.900
Tap1	Tapbp	10090.ENSMUSP00000128401	10090.ENSMUSP00000025161	0	0.292	0.900	0.531	0.963
Tap1	Tap2	10090.ENSMUSP00000128401	10090.ENSMUSP00000025197	0	0.559	0.900	0.982	0.999
Tap2	Tapbp	10090.ENSMUSP00000025197	10090.ENSMUSP00000025161	0	0.292	0.900	0.564	0.966
