#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Aldh1b1	Aox1	10090.ENSMUSP00000041260	10090.ENSMUSP00000001027	0	0	0.900	0.105	0.906
Aldh1b1	Aldh9a1	10090.ENSMUSP00000041260	10090.ENSMUSP00000028004	0	0	0.900	0	0.900
Aldh1b1	Aldh2	10090.ENSMUSP00000041260	10090.ENSMUSP00000031411	0	0	0.900	0	0.900
Aldh1b1	Aldh3a2	10090.ENSMUSP00000041260	10090.ENSMUSP00000073764	0	0	0.900	0	0.900
Aldh1b1	Aldh7a1	10090.ENSMUSP00000041260	10090.ENSMUSP00000065089	0	0	0.900	0	0.900
Aldh1b1	Aox3	10090.ENSMUSP00000041260	10090.ENSMUSP00000049391	0	0	0.900	0.105	0.906
Aldh1b1	Aox2	10090.ENSMUSP00000041260	10090.ENSMUSP00000110006	0	0	0.900	0.105	0.906
Aldh1b1	Aox4	10090.ENSMUSP00000041260	10090.ENSMUSP00000048929	0	0	0.900	0.105	0.906
Aldh2	Aox1	10090.ENSMUSP00000031411	10090.ENSMUSP00000001027	0	0	0.900	0.110	0.907
Aldh2	Aldh9a1	10090.ENSMUSP00000031411	10090.ENSMUSP00000028004	0	0	0.900	0	0.900
Aldh2	Aldh7a1	10090.ENSMUSP00000031411	10090.ENSMUSP00000065089	0	0	0.900	0	0.900
Aldh2	Aldh3a2	10090.ENSMUSP00000031411	10090.ENSMUSP00000073764	0	0	0.900	0	0.900
Aldh2	Aox3	10090.ENSMUSP00000031411	10090.ENSMUSP00000049391	0	0	0.900	0.105	0.906
Aldh2	Aox2	10090.ENSMUSP00000031411	10090.ENSMUSP00000110006	0	0	0.900	0.110	0.907
Aldh2	Aox4	10090.ENSMUSP00000031411	10090.ENSMUSP00000048929	0	0	0.900	0.110	0.907
Aldh3a2	Aox1	10090.ENSMUSP00000073764	10090.ENSMUSP00000001027	0	0	0.900	0	0.900
Aldh3a2	Aldh9a1	10090.ENSMUSP00000073764	10090.ENSMUSP00000028004	0	0	0.900	0	0.900
Aldh3a2	Aox4	10090.ENSMUSP00000073764	10090.ENSMUSP00000048929	0	0	0.900	0	0.900
Aldh3a2	Aox3	10090.ENSMUSP00000073764	10090.ENSMUSP00000049391	0	0	0.900	0	0.900
Aldh3a2	Aldh7a1	10090.ENSMUSP00000073764	10090.ENSMUSP00000065089	0	0	0.900	0	0.900
Aldh3a2	Aox2	10090.ENSMUSP00000073764	10090.ENSMUSP00000110006	0	0	0.900	0	0.900
Aldh7a1	Aox1	10090.ENSMUSP00000065089	10090.ENSMUSP00000001027	0	0	0.900	0	0.900
Aldh7a1	Aldh9a1	10090.ENSMUSP00000065089	10090.ENSMUSP00000028004	0	0.299	0.900	0	0.926
Aldh7a1	Aox4	10090.ENSMUSP00000065089	10090.ENSMUSP00000048929	0	0	0.900	0	0.900
Aldh7a1	Aox3	10090.ENSMUSP00000065089	10090.ENSMUSP00000049391	0	0	0.900	0	0.900
Aldh7a1	Aox2	10090.ENSMUSP00000065089	10090.ENSMUSP00000110006	0	0	0.900	0	0.900
Aldh9a1	Aox1	10090.ENSMUSP00000028004	10090.ENSMUSP00000001027	0	0	0.900	0	0.900
Aldh9a1	Aox3	10090.ENSMUSP00000028004	10090.ENSMUSP00000049391	0	0	0.900	0	0.900
Aldh9a1	Aox4	10090.ENSMUSP00000028004	10090.ENSMUSP00000048929	0	0	0.900	0	0.900
Aldh9a1	Aox2	10090.ENSMUSP00000028004	10090.ENSMUSP00000110006	0	0	0.900	0	0.900
Aox1	Aox3	10090.ENSMUSP00000001027	10090.ENSMUSP00000049391	0	0	0.900	0	0.900
Aox1	Aox4	10090.ENSMUSP00000001027	10090.ENSMUSP00000048929	0	0	0.900	0	0.900
Aox1	Aox2	10090.ENSMUSP00000001027	10090.ENSMUSP00000110006	0	0	0.900	0	0.900
Aox2	Aox4	10090.ENSMUSP00000110006	10090.ENSMUSP00000048929	0	0	0.900	0	0.900
Aox2	Aox3	10090.ENSMUSP00000110006	10090.ENSMUSP00000049391	0	0	0.900	0	0.900
Aox3	Aox4	10090.ENSMUSP00000049391	10090.ENSMUSP00000048929	0	0	0.900	0	0.900
