#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Adipoq	Cdh13	10090.ENSMUSP00000023593	10090.ENSMUSP00000113527	0	0.292	0	0.982	0.987
Cdh11	Ctnnb1	10090.ENSMUSP00000074681	10090.ENSMUSP00000007130	0	0.197	0.540	0.769	0.907
Cdh11	Ctnna1	10090.ENSMUSP00000074681	10090.ENSMUSP00000049007	0	0.065	0.540	0.209	0.630
Cdh11	Ctnnd1	10090.ENSMUSP00000074681	10090.ENSMUSP00000064518	0	0.104	0.540	0.121	0.606
Cdh11	Cdh8	10090.ENSMUSP00000074681	10090.ENSMUSP00000117326	0	0	0.540	0	0.540
Cdh11	Cdh9	10090.ENSMUSP00000074681	10090.ENSMUSP00000154022	0	0	0.540	0	0.540
Cdh11	Cdh12	10090.ENSMUSP00000074681	10090.ENSMUSP00000153750	0	0.051	0.540	0	0.544
Cdh11	Gm28635	10090.ENSMUSP00000074681	10090.ENSMUSP00000141166	0	0.104	0.540	0.121	0.606
Cdh11	Cdh13	10090.ENSMUSP00000074681	10090.ENSMUSP00000113527	0	0	0.540	0.230	0.630
Cdh11	Cdh3	10090.ENSMUSP00000074681	10090.ENSMUSP00000079613	0	0	0.540	0.449	0.735
Cdh12	Ctnnb1	10090.ENSMUSP00000153750	10090.ENSMUSP00000007130	0	0.098	0.540	0.074	0.582
Cdh12	Ctnna1	10090.ENSMUSP00000153750	10090.ENSMUSP00000049007	0	0.058	0.540	0.053	0.553
Cdh12	Ctnnd1	10090.ENSMUSP00000153750	10090.ENSMUSP00000064518	0	0	0.540	0.052	0.545
Cdh12	Cdh3	10090.ENSMUSP00000153750	10090.ENSMUSP00000079613	0	0	0.540	0.102	0.569
Cdh12	Cdh13	10090.ENSMUSP00000153750	10090.ENSMUSP00000113527	0	0	0.540	0.138	0.586
Cdh12	Cdh8	10090.ENSMUSP00000153750	10090.ENSMUSP00000117326	0	0.114	0.540	0.179	0.636
Cdh12	Gm28635	10090.ENSMUSP00000153750	10090.ENSMUSP00000141166	0	0	0.540	0.052	0.545
Cdh12	Cdh9	10090.ENSMUSP00000153750	10090.ENSMUSP00000154022	0	0	0.540	0.249	0.639
Cdh13	Ctnnb1	10090.ENSMUSP00000113527	10090.ENSMUSP00000007130	0	0	0.540	0.331	0.679
Cdh13	Ctnna1	10090.ENSMUSP00000113527	10090.ENSMUSP00000049007	0	0	0.540	0.219	0.625
Cdh13	Ctnnd1	10090.ENSMUSP00000113527	10090.ENSMUSP00000064518	0	0	0.540	0.129	0.582
Cdh13	Cdh3	10090.ENSMUSP00000113527	10090.ENSMUSP00000079613	0	0	0.540	0.107	0.571
Cdh13	Gm28635	10090.ENSMUSP00000113527	10090.ENSMUSP00000141166	0	0	0.540	0.129	0.582
Cdh13	Cdh9	10090.ENSMUSP00000113527	10090.ENSMUSP00000154022	0	0	0.540	0.165	0.599
Cdh13	Cdh8	10090.ENSMUSP00000113527	10090.ENSMUSP00000117326	0	0	0.540	0.222	0.626
Cdh3	Ctnnb1	10090.ENSMUSP00000079613	10090.ENSMUSP00000007130	0	0.207	0.540	0.643	0.858
Cdh3	Ctnna1	10090.ENSMUSP00000079613	10090.ENSMUSP00000049007	0	0	0.540	0.236	0.633
Cdh3	Ctnnd1	10090.ENSMUSP00000079613	10090.ENSMUSP00000064518	0	0	0.540	0.420	0.721
Cdh3	Cdh9	10090.ENSMUSP00000079613	10090.ENSMUSP00000154022	0	0	0.540	0	0.540
Cdh3	Cdh8	10090.ENSMUSP00000079613	10090.ENSMUSP00000117326	0	0	0.540	0	0.540
Cdh3	Gm28635	10090.ENSMUSP00000079613	10090.ENSMUSP00000141166	0	0	0.540	0.143	0.588
Cdh8	Ctnnb1	10090.ENSMUSP00000117326	10090.ENSMUSP00000007130	0	0.197	0.540	0.594	0.837
Cdh8	Ctnna1	10090.ENSMUSP00000117326	10090.ENSMUSP00000049007	0	0.065	0.540	0.121	0.588
Cdh8	Ctnnd1	10090.ENSMUSP00000117326	10090.ENSMUSP00000064518	0	0.104	0.540	0.121	0.606
Cdh8	Cdh9	10090.ENSMUSP00000117326	10090.ENSMUSP00000154022	0	0	0.540	0.158	0.596
Cdh8	Gm28635	10090.ENSMUSP00000117326	10090.ENSMUSP00000141166	0	0.104	0.540	0.121	0.606
Cdh9	Ctnnb1	10090.ENSMUSP00000154022	10090.ENSMUSP00000007130	0	0	0.540	0.074	0.555
Cdh9	Ctnna1	10090.ENSMUSP00000154022	10090.ENSMUSP00000049007	0	0	0.540	0.090	0.563
Cdh9	Ctnnd1	10090.ENSMUSP00000154022	10090.ENSMUSP00000064518	0	0	0.540	0.070	0.553
Cdh9	Gm28635	10090.ENSMUSP00000154022	10090.ENSMUSP00000141166	0	0	0.540	0.070	0.553
Ctnna1	Ctnnb1	10090.ENSMUSP00000049007	10090.ENSMUSP00000007130	0	0.968	0.900	0.979	0.999
Ctnna1	Gm28635	10090.ENSMUSP00000049007	10090.ENSMUSP00000141166	0	0	0.900	0.475	0.945
Ctnna1	Ctnnd1	10090.ENSMUSP00000049007	10090.ENSMUSP00000064518	0	0.329	0.900	0.755	0.982
Ctnnb1	Gm28635	10090.ENSMUSP00000007130	10090.ENSMUSP00000141166	0	0.058	0.900	0.556	0.954
Ctnnb1	Ctnnd1	10090.ENSMUSP00000007130	10090.ENSMUSP00000064518	0	0.466	0.900	0.984	0.999
Ctnnd1	Gm28635	10090.ENSMUSP00000064518	10090.ENSMUSP00000141166	0	0	0.900	0	0.900
