#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Atg12	Pdcd6ip	10090.ENSMUSP00000038489	10090.ENSMUSP00000107492	0	0.292	0	0.572	0.684
Chmp4b	Tsg101	10090.ENSMUSP00000036206	10090.ENSMUSP00000014546	0	0	0.720	0.575	0.876
Chmp4b	Chmp4c	10090.ENSMUSP00000036206	10090.ENSMUSP00000029049	0	0.058	0.900	0	0.901
Chmp4b	Mvb12a	10090.ENSMUSP00000036206	10090.ENSMUSP00000034272	0	0	0.720	0	0.720
Chmp4b	Mvb12b	10090.ENSMUSP00000036206	10090.ENSMUSP00000048901	0	0	0.720	0	0.720
Chmp4b	Pdcd6ip	10090.ENSMUSP00000036206	10090.ENSMUSP00000107492	0	0.419	0.900	0.664	0.978
Chmp4c	Tsg101	10090.ENSMUSP00000029049	10090.ENSMUSP00000014546	0	0	0.540	0.446	0.734
Chmp4c	Mvb12b	10090.ENSMUSP00000029049	10090.ENSMUSP00000048901	0	0	0.540	0	0.540
Chmp4c	Mvb12a	10090.ENSMUSP00000029049	10090.ENSMUSP00000034272	0	0	0.540	0	0.540
Chmp4c	Pdcd6ip	10090.ENSMUSP00000029049	10090.ENSMUSP00000107492	0	0.407	0.900	0.447	0.964
Mdp1	Pdcd6ip	10090.ENSMUSP00000002400	10090.ENSMUSP00000107492	0	0.411	0	0.360	0.606
Mvb12a	Tsg101	10090.ENSMUSP00000034272	10090.ENSMUSP00000014546	0	0.559	0.720	0.790	0.971
Mvb12a	Mvb12b	10090.ENSMUSP00000034272	10090.ENSMUSP00000048901	0	0	0.900	0	0.900
Mvb12a	Pdcd6ip	10090.ENSMUSP00000034272	10090.ENSMUSP00000107492	0	0	0.900	0	0.900
Mvb12b	Tsg101	10090.ENSMUSP00000048901	10090.ENSMUSP00000014546	0	0.581	0.720	0.828	0.978
Mvb12b	Pdcd6ip	10090.ENSMUSP00000048901	10090.ENSMUSP00000107492	0	0	0.900	0	0.900
Pdcd6	Tsg101	10090.ENSMUSP00000022060	10090.ENSMUSP00000014546	0	0.457	0	0.495	0.714
Pdcd6	Pdcd6ip	10090.ENSMUSP00000022060	10090.ENSMUSP00000107492	0	0.463	0	0.899	0.943
Pdcd6ip	Tsg101	10090.ENSMUSP00000107492	10090.ENSMUSP00000014546	0	0.125	0	0.967	0.970
Pdcd6ip	Sdcbp2	10090.ENSMUSP00000107492	10090.ENSMUSP00000028950	0	0	0	0.590	0.590
Pdcd6ip	Sdcbp	10090.ENSMUSP00000107492	10090.ENSMUSP00000029912	0	0.230	0.900	0.899	0.991
Sdcbp	Tsg101	10090.ENSMUSP00000029912	10090.ENSMUSP00000014546	0	0	0	0.421	0.420
