#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Eln	Loxl1	10090.ENSMUSP00000015138	10090.ENSMUSP00000057406	0	0.292	0	0.229	0.430
Eln	Mfap5	10090.ENSMUSP00000015138	10090.ENSMUSP00000122863	0	0	0.500	0.365	0.668
Eln	Mfap2	10090.ENSMUSP00000015138	10090.ENSMUSP00000071868	0	0	0.500	0.888	0.941
Eln	Vtn	10090.ENSMUSP00000015138	10090.ENSMUSP00000017488	0	0	0	0.944	0.944
Eln	Fbln5	10090.ENSMUSP00000015138	10090.ENSMUSP00000021603	0	0	0.500	0.937	0.967
Eln	Fbn1	10090.ENSMUSP00000015138	10090.ENSMUSP00000099524	0	0.059	0	0.974	0.975
Eln	Fn1	10090.ENSMUSP00000015138	10090.ENSMUSP00000054499	0	0	0	0.982	0.982
Fbln5	Loxl3	10090.ENSMUSP00000021603	10090.ENSMUSP00000000707	0	0	0	0.645	0.645
Fbln5	Vtn	10090.ENSMUSP00000021603	10090.ENSMUSP00000017488	0	0	0.500	0	0.499
Fbln5	Mfap5	10090.ENSMUSP00000021603	10090.ENSMUSP00000122863	0	0	0.500	0.066	0.513
Fbln5	Mfap2	10090.ENSMUSP00000021603	10090.ENSMUSP00000071868	0	0	0.500	0.287	0.628
Fbln5	Loxl2	10090.ENSMUSP00000021603	10090.ENSMUSP00000022660	0	0	0	0.645	0.645
Fbln5	Ltbp2	10090.ENSMUSP00000021603	10090.ENSMUSP00000105883	0	0.292	0	0.643	0.736
Fbln5	Fn1	10090.ENSMUSP00000021603	10090.ENSMUSP00000054499	0	0	0	0.744	0.744
Fbln5	Fbn1	10090.ENSMUSP00000021603	10090.ENSMUSP00000099524	0	0	0	0.844	0.844
Fbln5	Loxl1	10090.ENSMUSP00000021603	10090.ENSMUSP00000057406	0	0	0	0.900	0.900
Fbn1	Vtn	10090.ENSMUSP00000099524	10090.ENSMUSP00000017488	0	0	0	0.552	0.552
Fbn1	Fn1	10090.ENSMUSP00000099524	10090.ENSMUSP00000054499	0	0	0	0.826	0.826
Fbn1	Loxl1	10090.ENSMUSP00000099524	10090.ENSMUSP00000057406	0	0	0	0.410	0.410
Fbn1	Mfap2	10090.ENSMUSP00000099524	10090.ENSMUSP00000071868	0	0	0	0.884	0.884
Fbn1	Ltbp2	10090.ENSMUSP00000099524	10090.ENSMUSP00000105883	0	0	0	0.403	0.403
Fbn1	Mfap5	10090.ENSMUSP00000099524	10090.ENSMUSP00000122863	0	0	0	0.746	0.746
Fn1	Vtn	10090.ENSMUSP00000054499	10090.ENSMUSP00000017488	0	0	0	0.982	0.982
Loxl2	Loxl3	10090.ENSMUSP00000022660	10090.ENSMUSP00000000707	0	0.452	0	0	0.452
Mfap2	Vtn	10090.ENSMUSP00000071868	10090.ENSMUSP00000017488	0	0	0.500	0	0.499
Mfap2	Mfap5	10090.ENSMUSP00000071868	10090.ENSMUSP00000122863	0	0	0.800	0.492	0.894
Mfap5	Vtn	10090.ENSMUSP00000122863	10090.ENSMUSP00000017488	0	0	0.500	0	0.499
