#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Akt1	Pkn1	10090.ENSMUSP00000001780	10090.ENSMUSP00000116235	0	0	0	0.415	0.414
Akt1	Pkn2	10090.ENSMUSP00000001780	10090.ENSMUSP00000039566	0	0	0	0.728	0.728
Akt1	Hspa5	10090.ENSMUSP00000001780	10090.ENSMUSP00000028222	0	0	0	0.750	0.750
Akt1	Akt3	10090.ENSMUSP00000001780	10090.ENSMUSP00000106789	0	0.100	0.900	0	0.906
Akt1	Pdpk1	10090.ENSMUSP00000001780	10090.ENSMUSP00000099991	0	0.123	0.500	0.808	0.908
Akt1	Hsp90ab1	10090.ENSMUSP00000001780	10090.ENSMUSP00000024739	0	0.297	0	0.982	0.986
Akt1	Hsp90aa1	10090.ENSMUSP00000001780	10090.ENSMUSP00000091921	0	0.460	0.800	0.982	0.997
Akt3	Pdpk1	10090.ENSMUSP00000106789	10090.ENSMUSP00000099991	0	0.242	0.500	0.123	0.638
Card11	Pdpk1	10090.ENSMUSP00000082941	10090.ENSMUSP00000099991	0	0	0.700	0	0.700
Hsp90aa1	Hsp90ab1	10090.ENSMUSP00000091921	10090.ENSMUSP00000024739	0	0.308	0.900	0	0.927
Hsp90aa1	Hspa5	10090.ENSMUSP00000091921	10090.ENSMUSP00000028222	0	0.269	0	0.692	0.765
Hsp90aa1	Pdpk1	10090.ENSMUSP00000091921	10090.ENSMUSP00000099991	0	0	0	0.572	0.572
Hsp90ab1	Pdpk1	10090.ENSMUSP00000024739	10090.ENSMUSP00000099991	0	0	0	0.572	0.572
Hsp90ab1	Hspa5	10090.ENSMUSP00000024739	10090.ENSMUSP00000028222	0	0.272	0.720	0.769	0.948
Hspa5	Pdpk1	10090.ENSMUSP00000028222	10090.ENSMUSP00000099991	0	0	0	0.587	0.587
Pdpk1	Prkcz	10090.ENSMUSP00000099991	10090.ENSMUSP00000030922	0	0	0.700	0.336	0.792
Pdpk1	Pkn2	10090.ENSMUSP00000099991	10090.ENSMUSP00000039566	0	0.512	0.500	0	0.745
Pdpk1	Pkn3	10090.ENSMUSP00000099991	10090.ENSMUSP00000041025	0	0.223	0.500	0	0.594
Pdpk1	Pkn1	10090.ENSMUSP00000099991	10090.ENSMUSP00000116235	0	0.303	0.500	0	0.636
Pkn1	Pkn2	10090.ENSMUSP00000116235	10090.ENSMUSP00000039566	0	0	0.900	0	0.900
Pkn1	Pkn3	10090.ENSMUSP00000116235	10090.ENSMUSP00000041025	0	0	0.900	0	0.900
Pkn2	Pkn3	10090.ENSMUSP00000039566	10090.ENSMUSP00000041025	0	0	0.900	0	0.900
