#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Dbt	Sucla2	10090.ENSMUSP00000000349	10090.ENSMUSP00000123765	0	0	0.540	0	0.540
Dbt	Ogdhl	10090.ENSMUSP00000000349	10090.ENSMUSP00000022480	0	0.199	0.540	0.194	0.677
Dbt	Idh3b	10090.ENSMUSP00000000349	10090.ENSMUSP00000028892	0	0	0.720	0	0.720
Dbt	Suclg2	10090.ENSMUSP00000000349	10090.ENSMUSP00000144827	0	0	0.720	0	0.720
Dbt	Idh3g	10090.ENSMUSP00000000349	10090.ENSMUSP00000056502	0	0	0.720	0	0.720
Dbt	Dlst	10090.ENSMUSP00000000349	10090.ENSMUSP00000060346	0	0	0.720	0	0.720
Dbt	Idh3a	10090.ENSMUSP00000000349	10090.ENSMUSP00000127526	0	0	0.720	0	0.720
Dbt	Suclg1	10090.ENSMUSP00000000349	10090.ENSMUSP00000065113	0	0	0.720	0.062	0.726
Dbt	Ogdh	10090.ENSMUSP00000000349	10090.ENSMUSP00000091041	0	0.199	0.720	0.194	0.803
Dbt	Dld	10090.ENSMUSP00000000349	10090.ENSMUSP00000106481	0	0.496	0.720	0.867	0.979
Dld	Ogdhl	10090.ENSMUSP00000106481	10090.ENSMUSP00000022480	0	0.207	0.900	0.547	0.961
Dld	Idh3b	10090.ENSMUSP00000106481	10090.ENSMUSP00000028892	0	0	0.720	0.157	0.753
Dld	Idh3g	10090.ENSMUSP00000106481	10090.ENSMUSP00000056502	0	0.253	0.720	0.490	0.884
Dld	Dlst	10090.ENSMUSP00000106481	10090.ENSMUSP00000060346	0	0.508	0.900	0.949	0.997
Dld	Suclg1	10090.ENSMUSP00000106481	10090.ENSMUSP00000065113	0	0.258	0.720	0	0.783
Dld	Ogdh	10090.ENSMUSP00000106481	10090.ENSMUSP00000091041	0	0.421	0.900	0.946	0.996
Dld	Sucla2	10090.ENSMUSP00000106481	10090.ENSMUSP00000123765	0	0.253	0.540	0	0.641
Dld	Suclg2	10090.ENSMUSP00000106481	10090.ENSMUSP00000144827	0	0	0.720	0	0.720
Dld	Idh3a	10090.ENSMUSP00000106481	10090.ENSMUSP00000127526	0	0.299	0.720	0.046	0.796
Dlst	Ogdhl	10090.ENSMUSP00000060346	10090.ENSMUSP00000022480	0	0.362	0.900	0.901	0.993
Dlst	Idh3b	10090.ENSMUSP00000060346	10090.ENSMUSP00000028892	0	0	0.720	0	0.720
Dlst	Idh3g	10090.ENSMUSP00000060346	10090.ENSMUSP00000056502	0	0	0.720	0	0.720
Dlst	Sucla2	10090.ENSMUSP00000060346	10090.ENSMUSP00000123765	0	0.248	0.540	0	0.639
Dlst	Suclg2	10090.ENSMUSP00000060346	10090.ENSMUSP00000144827	0	0	0.720	0	0.720
Dlst	Idh3a	10090.ENSMUSP00000060346	10090.ENSMUSP00000127526	0	0.300	0.720	0	0.795
