#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
1300017J02Rik	Tfrc	10090.ENSMUSP00000035163	10090.ENSMUSP00000023486	0	0.396	0.900	0	0.937
1300017J02Rik	Trf	10090.ENSMUSP00000035163	10090.ENSMUSP00000035158	0	0	0.900	0	0.900
Afp	Alb	10090.ENSMUSP00000041006	10090.ENSMUSP00000031314	0	0	0	0.679	0.679
Afp	Trf	10090.ENSMUSP00000041006	10090.ENSMUSP00000035158	0	0	0	0.541	0.541
Alb	Tfrc	10090.ENSMUSP00000031314	10090.ENSMUSP00000023486	0	0	0	0.470	0.470
Alb	Trf	10090.ENSMUSP00000031314	10090.ENSMUSP00000035158	0	0	0	0.552	0.552
Alb	Ttr	10090.ENSMUSP00000031314	10090.ENSMUSP00000074783	0	0.239	0	0.670	0.738
Ap2a2	Trf	10090.ENSMUSP00000003038	10090.ENSMUSP00000035158	0	0	0.500	0	0.499
Ap2a2	Tfrc	10090.ENSMUSP00000003038	10090.ENSMUSP00000023486	0	0	0.500	0	0.499
B2m	Tfrc	10090.ENSMUSP00000099534	10090.ENSMUSP00000023486	0	0.240	0.720	0.372	0.854
B2m	Trf	10090.ENSMUSP00000099534	10090.ENSMUSP00000035158	0	0	0.720	0	0.720
B2m	Hjv	10090.ENSMUSP00000099534	10090.ENSMUSP00000046659	0	0	0.720	0	0.720
B2m	Hfe	10090.ENSMUSP00000099534	10090.ENSMUSP00000089298	0	0.139	0.720	0.980	0.994
B2m	Tfr2	10090.ENSMUSP00000099534	10090.ENSMUSP00000142720	0	0.134	0.720	0.062	0.752
Hfe	Tfrc	10090.ENSMUSP00000089298	10090.ENSMUSP00000023486	0	0.357	0.720	0.983	0.996
Hfe	Trf	10090.ENSMUSP00000089298	10090.ENSMUSP00000035158	0	0	0.720	0	0.720
Hfe	Hjv	10090.ENSMUSP00000089298	10090.ENSMUSP00000046659	0	0	0.720	0.871	0.962
Hfe	Tfr2	10090.ENSMUSP00000089298	10090.ENSMUSP00000142720	0	0.207	0.720	0.982	0.995
Hjv	Tfrc	10090.ENSMUSP00000046659	10090.ENSMUSP00000023486	0	0	0.720	0.913	0.974
Hjv	Trf	10090.ENSMUSP00000046659	10090.ENSMUSP00000035158	0	0	0.720	0	0.720
Hjv	Tfr2	10090.ENSMUSP00000046659	10090.ENSMUSP00000142720	0	0	0.720	0.952	0.986
Tfr2	Tfrc	10090.ENSMUSP00000142720	10090.ENSMUSP00000023486	0	0.222	0.720	0.616	0.909
Tfr2	Trf	10090.ENSMUSP00000142720	10090.ENSMUSP00000035158	0	0.125	0.720	0	0.744
Tfrc	Trf	10090.ENSMUSP00000023486	10090.ENSMUSP00000035158	0	0.396	0.900	0.620	0.975
Trf	Ttr	10090.ENSMUSP00000035158	10090.ENSMUSP00000074783	0	0	0	0.549	0.549
