#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Apoa1	Pon1	10090.ENSMUSP00000034588	10090.ENSMUSP00000002663	0	0	0	0	0.175	0	0.720	0.982	0.995
Apoa1	App	10090.ENSMUSP00000034588	10090.ENSMUSP00000005406	0	0	0	0	0	0.137	0.720	0.788	0.944
Apoa1	Clu	10090.ENSMUSP00000034588	10090.ENSMUSP00000022616	0	0	0	0	0.085	0.222	0.720	0.990	0.997
Apoa1	Apoa4	10090.ENSMUSP00000034588	10090.ENSMUSP00000034585	0	0	0.116	0.685	0.671	0	0.800	0.565	0.971
Apoa1	Trem2	10090.ENSMUSP00000034588	10090.ENSMUSP00000108863	0	0	0	0	0	0.082	0	0.526	0.546
Apoa1	Ltf	10090.ENSMUSP00000034588	10090.ENSMUSP00000035077	0	0	0	0	0.090	0.076	0	0.573	0.609
Apoa1	Lrp2	10090.ENSMUSP00000034588	10090.ENSMUSP00000079752	0	0	0	0	0	0	0.400	0.603	0.751
Apoa1	Vldlr	10090.ENSMUSP00000034588	10090.ENSMUSP00000127329	0	0	0	0	0	0	0.540	0.670	0.841
Apoa1	Apoe	10090.ENSMUSP00000034588	10090.ENSMUSP00000133302	0	0	0	0.604	0.204	0.422	0.800	0.992	0.999
Apoa1	Apoa2	10090.ENSMUSP00000034588	10090.ENSMUSP00000106953	0	0	0	0	0.843	0.396	0.800	0.998	0.999
Apoa2	Pon1	10090.ENSMUSP00000106953	10090.ENSMUSP00000002663	0	0	0	0	0.382	0	0.720	0.858	0.973
Apoa2	App	10090.ENSMUSP00000106953	10090.ENSMUSP00000005406	0	0	0	0	0	0	0.720	0.654	0.898
Apoa2	Clu	10090.ENSMUSP00000106953	10090.ENSMUSP00000022616	0	0	0	0	0.050	0	0.720	0.890	0.968
Apoa2	Apoa4	10090.ENSMUSP00000106953	10090.ENSMUSP00000034585	0	0	0	0	0.575	0.260	0.800	0.954	0.996
Apoa2	Lrp2	10090.ENSMUSP00000106953	10090.ENSMUSP00000079752	0	0	0	0	0	0	0.400	0.318	0.573
Apoa2	Vldlr	10090.ENSMUSP00000106953	10090.ENSMUSP00000127329	0	0	0	0	0	0	0.540	0.387	0.705
Apoa2	Apoe	10090.ENSMUSP00000106953	10090.ENSMUSP00000133302	0	0	0	0	0.120	0.338	0.800	0.992	0.998
Apoa4	Pon1	10090.ENSMUSP00000034585	10090.ENSMUSP00000002663	0	0	0	0	0.133	0	0.720	0.701	0.921
Apoa4	App	10090.ENSMUSP00000034585	10090.ENSMUSP00000005406	0	0	0	0	0	0.268	0.720	0.415	0.869
Apoa4	Clu	10090.ENSMUSP00000034585	10090.ENSMUSP00000022616	0	0	0	0	0.083	0	0.720	0.796	0.943
Apoa4	Lrp2	10090.ENSMUSP00000034585	10090.ENSMUSP00000079752	0	0	0	0	0	0	0.400	0.176	0.484
Apoa4	Vldlr	10090.ENSMUSP00000034585	10090.ENSMUSP00000127329	0	0	0	0	0	0	0.540	0.279	0.654
Apoa4	Apoe	10090.ENSMUSP00000034585	10090.ENSMUSP00000133302	0	0	0	0.625	0.176	0	0.800	0.727	0.951
Apoe	Pon1	10090.ENSMUSP00000133302	10090.ENSMUSP00000002663	0	0	0	0	0.174	0	0.720	0.862	0.965
Apoe	App	10090.ENSMUSP00000133302	10090.ENSMUSP00000005406	0	0	0	0	0.054	0.435	0.720	0.982	0.996
Apoe	Clu	10090.ENSMUSP00000133302	10090.ENSMUSP00000022616	0	0	0	0	0.220	0	0.720	0.973	0.993
Apoe	Ltf	10090.ENSMUSP00000133302	10090.ENSMUSP00000035077	0	0	0	0	0.069	0	0	0.605	0.616
Apoe	Lrp2	10090.ENSMUSP00000133302	10090.ENSMUSP00000079752	0	0	0	0	0.052	0.103	0.900	0.973	0.997
Apoe	Trem2	10090.ENSMUSP00000133302	10090.ENSMUSP00000108863	0	0	0	0	0.111	0.198	0	0.984	0.987
Apoe	Vldlr	10090.ENSMUSP00000133302	10090.ENSMUSP00000127329	0	0	0	0	0	0.272	0.540	0.993	0.997
App	Pon1	10090.ENSMUSP00000005406	10090.ENSMUSP00000002663	0	0	0	0	0	0	0.720	0.234	0.776
