#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Anxa7	Sri	10090.ENSMUSP00000066035	10090.ENSMUSP00000118221	0	0.457	0	0.397	0.658
Aurkb	Sri	10090.ENSMUSP00000021277	10090.ENSMUSP00000118221	0	0	0	0.475	0.475
Calm3	Sri	10090.ENSMUSP00000019514	10090.ENSMUSP00000118221	0	0	0	0.659	0.659
Calm3	Trdn	10090.ENSMUSP00000019514	10090.ENSMUSP00000093436	0	0	0	0.813	0.813
Calm3	Ryr2	10090.ENSMUSP00000019514	10090.ENSMUSP00000021750	0	0.409	0	0.958	0.974
Calm3	Calml4	10090.ENSMUSP00000019514	10090.ENSMUSP00000034777	0	0	0.900	0.931	0.992
Calm3	Calml3	10090.ENSMUSP00000019514	10090.ENSMUSP00000076880	0	0	0.900	0.931	0.992
Calm3	Calm5	10090.ENSMUSP00000019514	10090.ENSMUSP00000139342	0	0	0.900	0.931	0.992
Calm3	Calm4	10090.ENSMUSP00000019514	10090.ENSMUSP00000041636	0	0	0.900	0.931	0.992
Calm4	Ryr2	10090.ENSMUSP00000041636	10090.ENSMUSP00000021750	0	0.200	0	0.950	0.958
Calm4	Calml4	10090.ENSMUSP00000041636	10090.ENSMUSP00000034777	0	0	0.900	0.512	0.949
Calm4	Sri	10090.ENSMUSP00000041636	10090.ENSMUSP00000118221	0	0	0	0.609	0.609
Calm4	Trdn	10090.ENSMUSP00000041636	10090.ENSMUSP00000093436	0	0	0	0.740	0.740
Calm4	Calml3	10090.ENSMUSP00000041636	10090.ENSMUSP00000076880	0	0	0.900	0.511	0.949
Calm4	Calm5	10090.ENSMUSP00000041636	10090.ENSMUSP00000139342	0	0	0.900	0.512	0.949
Calm5	Ryr2	10090.ENSMUSP00000139342	10090.ENSMUSP00000021750	0	0.200	0	0.950	0.958
Calm5	Calml4	10090.ENSMUSP00000139342	10090.ENSMUSP00000034777	0	0	0.900	0.512	0.949
Calm5	Calml3	10090.ENSMUSP00000139342	10090.ENSMUSP00000076880	0	0	0.900	0.512	0.949
Calm5	Trdn	10090.ENSMUSP00000139342	10090.ENSMUSP00000093436	0	0	0	0.740	0.740
Calm5	Sri	10090.ENSMUSP00000139342	10090.ENSMUSP00000118221	0	0	0	0.609	0.609
Calml3	Ryr2	10090.ENSMUSP00000076880	10090.ENSMUSP00000021750	0	0.200	0	0.950	0.958
Calml3	Calml4	10090.ENSMUSP00000076880	10090.ENSMUSP00000034777	0	0	0.900	0.511	0.949
Calml3	Sri	10090.ENSMUSP00000076880	10090.ENSMUSP00000118221	0	0	0	0.609	0.609
Calml3	Trdn	10090.ENSMUSP00000076880	10090.ENSMUSP00000093436	0	0	0	0.740	0.740
Calml4	Ryr2	10090.ENSMUSP00000034777	10090.ENSMUSP00000021750	0	0.121	0	0.958	0.962
Calml4	Sri	10090.ENSMUSP00000034777	10090.ENSMUSP00000118221	0	0	0	0.609	0.609
Calml4	Trdn	10090.ENSMUSP00000034777	10090.ENSMUSP00000093436	0	0	0	0.747	0.747
Psen2	Sri	10090.ENSMUSP00000106735	10090.ENSMUSP00000118221	0	0.292	0	0.829	0.874
Ryr2	Sri	10090.ENSMUSP00000021750	10090.ENSMUSP00000118221	0	0.292	0	0.826	0.871
Ryr2	Trdn	10090.ENSMUSP00000021750	10090.ENSMUSP00000093436	0	0	0.800	0.951	0.989
Sri	Trdn	10090.ENSMUSP00000118221	10090.ENSMUSP00000093436	0	0	0	0.705	0.705
