#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actg1	Pfn1	10090.ENSMUSP00000071486	10090.ENSMUSP00000018437	0	0	0.900	0.095	0.905
Actg1	Pfn3	10090.ENSMUSP00000071486	10090.ENSMUSP00000054053	0	0	0.900	0.095	0.905
Actg1	Pfn2	10090.ENSMUSP00000071486	10090.ENSMUSP00000068890	0	0	0.900	0.095	0.905
Actg1	Dstn	10090.ENSMUSP00000071486	10090.ENSMUSP00000099461	0	0.361	0	0.126	0.417
Actg1	Pfn4	10090.ENSMUSP00000071486	10090.ENSMUSP00000136765	0	0.045	0.900	0.170	0.913
Actg1	Cfl2	10090.ENSMUSP00000071486	10090.ENSMUSP00000077262	0	0.300	0.900	0.349	0.950
Cfl2	Pfn1	10090.ENSMUSP00000077262	10090.ENSMUSP00000018437	0	0	0	0.506	0.506
Cfl2	Pfn3	10090.ENSMUSP00000077262	10090.ENSMUSP00000054053	0	0	0	0.512	0.512
Cfl2	Pfn2	10090.ENSMUSP00000077262	10090.ENSMUSP00000068890	0	0	0	0.510	0.510
Cfl2	Pfn4	10090.ENSMUSP00000077262	10090.ENSMUSP00000136765	0	0	0	0.507	0.507
Cfl2	Pfn5	10090.ENSMUSP00000077262	10090.ENSMUSP00000148168	0	0	0	0.513	0.513
Cfl2	Dstn	10090.ENSMUSP00000077262	10090.ENSMUSP00000099461	0	0.379	0	0.644	0.769
Dstn	Pfn1	10090.ENSMUSP00000099461	10090.ENSMUSP00000018437	0	0	0	0.462	0.462
Dstn	Pfn3	10090.ENSMUSP00000099461	10090.ENSMUSP00000054053	0	0	0	0.463	0.463
Dstn	Pfn2	10090.ENSMUSP00000099461	10090.ENSMUSP00000068890	0	0	0	0.463	0.463
Dstn	Pfn4	10090.ENSMUSP00000099461	10090.ENSMUSP00000136765	0	0	0	0.457	0.457
Dstn	Pfn5	10090.ENSMUSP00000099461	10090.ENSMUSP00000148168	0	0	0	0.463	0.463
Pfn1	Pfn4	10090.ENSMUSP00000018437	10090.ENSMUSP00000136765	0	0	0.900	0	0.900
Pfn1	Pfn3	10090.ENSMUSP00000018437	10090.ENSMUSP00000054053	0	0	0.900	0	0.900
Pfn1	Pfn2	10090.ENSMUSP00000018437	10090.ENSMUSP00000068890	0	0.292	0.900	0	0.926
Pfn2	Pfn3	10090.ENSMUSP00000068890	10090.ENSMUSP00000054053	0	0	0.900	0	0.900
Pfn2	Pfn4	10090.ENSMUSP00000068890	10090.ENSMUSP00000136765	0	0	0.900	0	0.900
Pfn3	Pfn4	10090.ENSMUSP00000054053	10090.ENSMUSP00000136765	0	0	0.900	0	0.900
