#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Agl	Pygb	10090.ENSMUSP00000044012	10090.ENSMUSP00000035743	0	0.059	0.900	0	0.901
Agl	Pygl	10090.ENSMUSP00000044012	10090.ENSMUSP00000071231	0	0.051	0.900	0	0.901
Agl	Pygm	10090.ENSMUSP00000044012	10090.ENSMUSP00000047564	0	0.059	0.900	0	0.901
Pygb	Ripk3	10090.ENSMUSP00000035743	10090.ENSMUSP00000022830	0	0	0	0.431	0.431
Pygb	S100a1	10090.ENSMUSP00000035743	10090.ENSMUSP00000058237	0	0	0	0.441	0.441
Pygb	Pygm	10090.ENSMUSP00000035743	10090.ENSMUSP00000047564	0	0	0.900	0	0.900
Pygb	Pygl	10090.ENSMUSP00000035743	10090.ENSMUSP00000071231	0	0.235	0.900	0	0.920
Pygl	Ripk3	10090.ENSMUSP00000071231	10090.ENSMUSP00000022830	0	0	0	0.437	0.437
Pygl	Pygm	10090.ENSMUSP00000071231	10090.ENSMUSP00000047564	0	0.058	0.900	0	0.901
Pygl	S100a1	10090.ENSMUSP00000071231	10090.ENSMUSP00000058237	0	0	0	0.441	0.441
Pygm	Ripk3	10090.ENSMUSP00000047564	10090.ENSMUSP00000022830	0	0	0	0.430	0.430
Pygm	S100a1	10090.ENSMUSP00000047564	10090.ENSMUSP00000058237	0	0	0	0.441	0.441
