#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actn2	Tcap	10090.ENSMUSP00000067708	10090.ENSMUSP00000008021	0	0	0.500	0.207	0.586
Actn2	Ttn	10090.ENSMUSP00000067708	10090.ENSMUSP00000107477	0	0.255	0	0.878	0.905
Ankrd1	Capn3	10090.ENSMUSP00000157960	10090.ENSMUSP00000028749	0	0.292	0	0.396	0.554
Ankrd1	Ttn	10090.ENSMUSP00000157960	10090.ENSMUSP00000107477	0	0.421	0	0.875	0.924
Capn3	Ttn	10090.ENSMUSP00000028749	10090.ENSMUSP00000107477	0	0.230	0	0.948	0.958
Csrp3	Tcap	10090.ENSMUSP00000129378	10090.ENSMUSP00000008021	0	0	0	0.949	0.949
Csrp3	Ttn	10090.ENSMUSP00000129378	10090.ENSMUSP00000107477	0	0	0	0.916	0.916
Myh9	Ttn	10090.ENSMUSP00000016771	10090.ENSMUSP00000107477	0	0	0.900	0	0.900
Myh9	Myl9	10090.ENSMUSP00000016771	10090.ENSMUSP00000085913	0	0.207	0.900	0.121	0.924
Myh9	Myl12b	10090.ENSMUSP00000016771	10090.ENSMUSP00000042364	0	0.373	0.900	0.383	0.957
Myl12b	Ttn	10090.ENSMUSP00000042364	10090.ENSMUSP00000107477	0	0	0.900	0	0.900
Myl12b	Myl9	10090.ENSMUSP00000042364	10090.ENSMUSP00000085913	0	0.058	0.900	0	0.901
Myl9	Ttn	10090.ENSMUSP00000085913	10090.ENSMUSP00000107477	0	0	0.900	0	0.900
Obscn	Ttn	10090.ENSMUSP00000038264	10090.ENSMUSP00000107477	0	0.359	0	0.960	0.973
Tcap	Trim63	10090.ENSMUSP00000008021	10090.ENSMUSP00000101501	0	0.044	0	0.519	0.521
Tcap	Ttn	10090.ENSMUSP00000008021	10090.ENSMUSP00000107477	0	0.559	0.720	0.980	0.997
Trim63	Ttn	10090.ENSMUSP00000101501	10090.ENSMUSP00000107477	0	0.120	0	0.917	0.924
