#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Echdc1	Pccb	10090.ENSMUSP00000020034	10090.ENSMUSP00000035116	0	0	0.900	0	0.900
Echdc1	Pcca	10090.ENSMUSP00000020034	10090.ENSMUSP00000038763	0	0	0.900	0	0.900
Mccc1	Mccc2	10090.ENSMUSP00000029259	10090.ENSMUSP00000022148	0	0.327	0.900	0.514	0.964
Mccc1	Pcx	10090.ENSMUSP00000029259	10090.ENSMUSP00000063825	0	0	0.500	0	0.499
Mccc1	Pcca	10090.ENSMUSP00000029259	10090.ENSMUSP00000038763	0	0.320	0.500	0	0.645
Mccc1	Pccb	10090.ENSMUSP00000029259	10090.ENSMUSP00000035116	0	0.529	0.500	0.285	0.816
Mccc2	Nelfcd	10090.ENSMUSP00000022148	10090.ENSMUSP00000104703	0	0.327	0	0.253	0.475
Mccc2	Pccb	10090.ENSMUSP00000022148	10090.ENSMUSP00000035116	0	0	0.500	0	0.499
Mccc2	Pcx	10090.ENSMUSP00000022148	10090.ENSMUSP00000063825	0	0	0.500	0	0.499
Mccc2	Pcca	10090.ENSMUSP00000022148	10090.ENSMUSP00000038763	0	0.327	0.500	0.360	0.765
Nelfcd	Pccb	10090.ENSMUSP00000104703	10090.ENSMUSP00000035116	0	0.327	0	0.253	0.475
Nr3c2	Pccb	10090.ENSMUSP00000105539	10090.ENSMUSP00000035116	0	0	0	0.410	0.410
Pcca	Pccb	10090.ENSMUSP00000038763	10090.ENSMUSP00000035116	0	0.556	0.900	0.605	0.980
Pcca	Pcx	10090.ENSMUSP00000038763	10090.ENSMUSP00000063825	0	0	0.500	0	0.499
Pccb	Pcx	10090.ENSMUSP00000035116	10090.ENSMUSP00000063825	0	0	0.500	0	0.499
