#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Apoa2	Fga	10090.ENSMUSP00000106953	10090.ENSMUSP00000133117	0	0.308	0	0.359	0.537
F2	Fgg	10090.ENSMUSP00000028681	10090.ENSMUSP00000141648	0	0.399	0	0.450	0.655
F2	Vwf	10090.ENSMUSP00000028681	10090.ENSMUSP00000107873	0	0	0.500	0.375	0.674
F2	Fga	10090.ENSMUSP00000028681	10090.ENSMUSP00000133117	0	0.559	0	0.389	0.719
F2	Fn1	10090.ENSMUSP00000028681	10090.ENSMUSP00000054499	0	0	0	0.978	0.978
Fga	Itgb3	10090.ENSMUSP00000133117	10090.ENSMUSP00000021028	0	0	0.900	0.576	0.955
Fga	Fgb	10090.ENSMUSP00000133117	10090.ENSMUSP00000039472	0	0.815	0.900	0.683	0.993
Fga	Thbs1	10090.ENSMUSP00000133117	10090.ENSMUSP00000044903	0	0.329	0.720	0.068	0.809
Fga	Serpinf2	10090.ENSMUSP00000133117	10090.ENSMUSP00000048704	0	0	0.720	0	0.720
Fga	Fn1	10090.ENSMUSP00000133117	10090.ENSMUSP00000054499	0	0.304	0.720	0.187	0.827
Fga	Itga2b	10090.ENSMUSP00000133117	10090.ENSMUSP00000099375	0	0	0.900	0	0.900
Fga	Vwf	10090.ENSMUSP00000133117	10090.ENSMUSP00000107873	0	0	0	0.524	0.524
Fga	Fgg	10090.ENSMUSP00000133117	10090.ENSMUSP00000141648	0	0.815	0.900	0.778	0.995
Fgb	Itgb3	10090.ENSMUSP00000039472	10090.ENSMUSP00000021028	0	0	0.900	0	0.900
Fgb	Vwf	10090.ENSMUSP00000039472	10090.ENSMUSP00000107873	0	0	0	0.680	0.680
Fgb	Serpinf2	10090.ENSMUSP00000039472	10090.ENSMUSP00000048704	0	0	0.720	0	0.720
Fgb	Thbs1	10090.ENSMUSP00000039472	10090.ENSMUSP00000044903	0	0.327	0.720	0	0.803
Fgb	Fn1	10090.ENSMUSP00000039472	10090.ENSMUSP00000054499	0	0.303	0.720	0.216	0.833
Fgb	Itga2b	10090.ENSMUSP00000039472	10090.ENSMUSP00000099375	0	0	0.900	0	0.900
Fgb	Fgg	10090.ENSMUSP00000039472	10090.ENSMUSP00000141648	0	0.805	0.900	0.747	0.994
Fgg	Itgb3	10090.ENSMUSP00000141648	10090.ENSMUSP00000021028	0	0.049	0.900	0.206	0.917
Fgg	Thbs1	10090.ENSMUSP00000141648	10090.ENSMUSP00000044903	0	0.327	0.720	0	0.803
Fgg	Serpinf2	10090.ENSMUSP00000141648	10090.ENSMUSP00000048704	0	0	0.720	0	0.720
Fgg	Fn1	10090.ENSMUSP00000141648	10090.ENSMUSP00000054499	0	0.303	0.720	0.453	0.884
Fgg	Itga2b	10090.ENSMUSP00000141648	10090.ENSMUSP00000099375	0	0	0.900	0	0.900
Fgg	Vwf	10090.ENSMUSP00000141648	10090.ENSMUSP00000107873	0	0	0	0.640	0.640
Fn1	Itgb3	10090.ENSMUSP00000054499	10090.ENSMUSP00000021028	0	0.559	0.400	0.977	0.993
Fn1	Thbs1	10090.ENSMUSP00000054499	10090.ENSMUSP00000044903	0	0	0.720	0.981	0.994
Fn1	Serpinf2	10090.ENSMUSP00000054499	10090.ENSMUSP00000048704	0	0	0.720	0.675	0.905
Fn1	Vwf	10090.ENSMUSP00000054499	10090.ENSMUSP00000107873	0	0	0	0.979	0.979
Fn1	Itga2b	10090.ENSMUSP00000054499	10090.ENSMUSP00000099375	0	0.201	0.400	0.980	0.989
Itga2b	Itgb3	10090.ENSMUSP00000099375	10090.ENSMUSP00000021028	0	0.559	0.900	0.985	0.999
Itga2b	Thbs1	10090.ENSMUSP00000099375	10090.ENSMUSP00000044903	0	0	0.500	0	0.499
Itga2b	Vwf	10090.ENSMUSP00000099375	10090.ENSMUSP00000107873	0	0	0.400	0.982	0.988
Itgb3	Thbs1	10090.ENSMUSP00000021028	10090.ENSMUSP00000044903	0	0	0.500	0.117	0.540
Itgb3	Vwf	10090.ENSMUSP00000021028	10090.ENSMUSP00000107873	0	0	0.400	0.790	0.868
Serpinf2	Thbs1	10090.ENSMUSP00000048704	10090.ENSMUSP00000044903	0	0.222	0.720	0.099	0.786
