#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Hpgds	Tbxas1	10090.ENSMUSP00000031982	10090.ENSMUSP00000003017	0	0	0	0	0.162	0	0.900	0.511	0.955
Hpgds	Ptgds	10090.ENSMUSP00000031982	10090.ENSMUSP00000015234	0	0	0	0	0.065	0	0.900	0.794	0.979
Hpgds	Ptgis	10090.ENSMUSP00000031982	10090.ENSMUSP00000018113	0	0	0	0	0.055	0	0.900	0.483	0.946
Hpgds	Ptges2	10090.ENSMUSP00000031982	10090.ENSMUSP00000028162	0	0	0	0	0	0	0.900	0.522	0.950
Hpgds	Prxl2b	10090.ENSMUSP00000031982	10090.ENSMUSP00000030935	0	0	0	0	0	0	0.900	0.257	0.922
Hpgds	Ptgs2	10090.ENSMUSP00000031982	10090.ENSMUSP00000035065	0	0	0	0	0	0	0.900	0.481	0.945
Hpgds	Ptges3	10090.ENSMUSP00000031982	10090.ENSMUSP00000050292	0	0	0	0	0.091	0	0.900	0.465	0.947
Hpgds	Ptgs1	10090.ENSMUSP00000031982	10090.ENSMUSP00000059977	0	0	0	0	0	0	0.900	0.502	0.948
Hpgds	Ptges	10090.ENSMUSP00000031982	10090.ENSMUSP00000099916	0	0	0	0	0	0	0.900	0.575	0.955
Prxl2b	Tbxas1	10090.ENSMUSP00000030935	10090.ENSMUSP00000003017	0	0	0	0	0.047	0	0.900	0.261	0.923
Prxl2b	Ptgds	10090.ENSMUSP00000030935	10090.ENSMUSP00000015234	0	0	0	0	0	0	0.900	0.216	0.918
Prxl2b	Ptgis	10090.ENSMUSP00000030935	10090.ENSMUSP00000018113	0	0	0	0	0.041	0	0.900	0.222	0.918
Prxl2b	Ptges2	10090.ENSMUSP00000030935	10090.ENSMUSP00000028162	0	0	0	0	0.057	0	0.900	0.170	0.914
Prxl2b	Ptges3	10090.ENSMUSP00000030935	10090.ENSMUSP00000050292	0	0	0	0	0	0	0.900	0.145	0.910
Prxl2b	Ptgs1	10090.ENSMUSP00000030935	10090.ENSMUSP00000059977	0	0	0	0	0	0	0.900	0.189	0.915
Prxl2b	Ptgs2	10090.ENSMUSP00000030935	10090.ENSMUSP00000035065	0	0	0	0	0	0	0.900	0.262	0.923
Prxl2b	Ptges	10090.ENSMUSP00000030935	10090.ENSMUSP00000099916	0	0	0	0	0	0	0.900	0.290	0.926
Ptgds	Sox9	10090.ENSMUSP00000015234	10090.ENSMUSP00000000579	0	0	0	0	0.046	0	0.750	0.276	0.812
Ptgds	Tbxas1	10090.ENSMUSP00000015234	10090.ENSMUSP00000003017	0	0	0	0	0	0	0.900	0.600	0.958
Ptgds	Ptgs2	10090.ENSMUSP00000015234	10090.ENSMUSP00000035065	0	0	0	0	0	0	0.900	0.485	0.946
Ptgds	Ptges3	10090.ENSMUSP00000015234	10090.ENSMUSP00000050292	0	0	0	0	0	0	0.900	0.521	0.950
Ptgds	Ptgs1	10090.ENSMUSP00000015234	10090.ENSMUSP00000059977	0	0	0	0	0	0	0.900	0.554	0.953
Ptgds	Ptges2	10090.ENSMUSP00000015234	10090.ENSMUSP00000028162	0	0	0	0	0	0	0.900	0.579	0.956
Ptgds	Ptgis	10090.ENSMUSP00000015234	10090.ENSMUSP00000018113	0	0	0	0	0	0	0.900	0.609	0.959
Ptgds	Ptges	10090.ENSMUSP00000015234	10090.ENSMUSP00000099916	0	0	0	0	0.087	0	0.900	0.607	0.960
Ptges	Tbxas1	10090.ENSMUSP00000099916	10090.ENSMUSP00000003017	0	0	0	0	0.049	0	0.900	0.674	0.966
Ptges	Ptgis	10090.ENSMUSP00000099916	10090.ENSMUSP00000018113	0	0	0	0	0.068	0	0.900	0.696	0.969
Ptges	Ptges2	10090.ENSMUSP00000099916	10090.ENSMUSP00000028162	0	0	0	0	0.059	0	0.900	0.886	0.988
Ptges	Ptgs2	10090.ENSMUSP00000099916	10090.ENSMUSP00000035065	0	0	0	0	0.103	0	0.900	0.815	0.982
Ptges	Ptges3	10090.ENSMUSP00000099916	10090.ENSMUSP00000050292	0	0	0	0	0	0	0.900	0.912	0.990
Ptges	Ptgs1	10090.ENSMUSP00000099916	10090.ENSMUSP00000059977	0	0	0	0	0.047	0	0.900	0.768	0.976
Ptges2	Tbxas1	10090.ENSMUSP00000028162	10090.ENSMUSP00000003017	0	0	0	0	0	0	0.900	0.619	0.960
Ptges2	Ptgis	10090.ENSMUSP00000028162	10090.ENSMUSP00000018113	0	0	0	0	0	0	0.900	0.642	0.962
Ptges2	Ptgs2	10090.ENSMUSP00000028162	10090.ENSMUSP00000035065	0	0	0	0	0	0	0.900	0.669	0.965
Ptges2	Ptgs1	10090.ENSMUSP00000028162	10090.ENSMUSP00000059977	0	0	0	0	0	0	0.900	0.686	0.967
Ptges2	Ptges3	10090.ENSMUSP00000028162	10090.ENSMUSP00000050292	0	0	0	0	0	0	0.900	0.939	0.993
Ptges3	Tbxas1	10090.ENSMUSP00000050292	10090.ENSMUSP00000003017	0	0	0	0	0.064	0	0.900	0.556	0.954
Ptges3	Ptgis	10090.ENSMUSP00000050292	10090.ENSMUSP00000018113	0	0	0	0	0	0	0.900	0.682	0.966
Ptges3	Ptgs2	10090.ENSMUSP00000050292	10090.ENSMUSP00000035065	0	0	0	0	0	0	0.900	0.569	0.955
Ptges3	Ptgs1	10090.ENSMUSP00000050292	10090.ENSMUSP00000059977	0	0	0	0	0	0	0.900	0.629	0.961
Ptgis	Tbxas1	10090.ENSMUSP00000018113	10090.ENSMUSP00000003017	0	0	0	0	0.063	0	0.900	0.783	0.977
Ptgis	Ptgs1	10090.ENSMUSP00000018113	10090.ENSMUSP00000059977	0	0	0	0	0.069	0.097	0.900	0.655	0.967
Ptgis	Ptgs2	10090.ENSMUSP00000018113	10090.ENSMUSP00000035065	0	0	0	0	0.054	0.097	0.900	0.742	0.975
Ptgs1	Tbxas1	10090.ENSMUSP00000059977	10090.ENSMUSP00000003017	0	0	0	0	0.157	0	0.900	0.680	0.970
Ptgs1	Ptgs2	10090.ENSMUSP00000059977	10090.ENSMUSP00000035065	0	0	0.057	0.967	0.114	0.093	0.900	0.578	0.962
Ptgs2	Tbxas1	10090.ENSMUSP00000035065	10090.ENSMUSP00000003017	0	0	0	0	0.054	0	0.900	0.446	0.943
