#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Adipor1	Nampt	10090.ENSMUSP00000107856	10090.ENSMUSP00000020886	0	0	0	0.506	0.506
Adipor1	Adipor2	10090.ENSMUSP00000107856	10090.ENSMUSP00000032272	0	0	0.900	0.712	0.969
Adipor2	Nampt	10090.ENSMUSP00000032272	10090.ENSMUSP00000020886	0	0	0	0.627	0.627
Ccr5	Nampt	10090.ENSMUSP00000107069	10090.ENSMUSP00000020886	0	0	0	0.429	0.429
Ccr5	Cxcl12	10090.ENSMUSP00000107069	10090.ENSMUSP00000072800	0	0	0.650	0.954	0.983
Ccrl2	Nampt	10090.ENSMUSP00000107519	10090.ENSMUSP00000020886	0	0	0	0.676	0.676
Cmklr1	Nampt	10090.ENSMUSP00000036316	10090.ENSMUSP00000020886	0	0	0	0.469	0.469
Cxcl12	Nampt	10090.ENSMUSP00000072800	10090.ENSMUSP00000020886	0	0	0	0.478	0.478
Gpr1	Nampt	10090.ENSMUSP00000051417	10090.ENSMUSP00000020886	0	0	0	0.684	0.684
Insr	Nampt	10090.ENSMUSP00000088837	10090.ENSMUSP00000020886	0	0	0	0.409	0.408
Nampt	Xdh	10090.ENSMUSP00000020886	10090.ENSMUSP00000024866	0	0	0	0.419	0.418
