#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Agt	Bdkrb2	10090.ENSMUSP00000066488	10090.ENSMUSP00000001652	0	0	0	0.518	0.518
Agt	Kng1	10090.ENSMUSP00000066488	10090.ENSMUSP00000023589	0	0	0	0.719	0.719
Agt	Gnaq	10090.ENSMUSP00000066488	10090.ENSMUSP00000025541	0	0	0	0.677	0.677
Agt	Kng2	10090.ENSMUSP00000066488	10090.ENSMUSP00000097623	0	0	0.400	0	0.400
Agt	Tac1	10090.ENSMUSP00000066488	10090.ENSMUSP00000139347	0	0	0	0.969	0.969
Bdkrb1	Bdkrb2	10090.ENSMUSP00000045335	10090.ENSMUSP00000001652	0	0	0.900	0.339	0.931
Bdkrb1	Kng1	10090.ENSMUSP00000045335	10090.ENSMUSP00000023589	0	0.204	0	0.872	0.893
Bdkrb1	Kng2	10090.ENSMUSP00000045335	10090.ENSMUSP00000097623	0	0	0.700	0	0.700
Bdkrb2	Gnaq	10090.ENSMUSP00000001652	10090.ENSMUSP00000025541	0	0	0	0.468	0.468
Bdkrb2	Kng2	10090.ENSMUSP00000001652	10090.ENSMUSP00000097623	0	0	0.700	0	0.700
Bdkrb2	Kng1	10090.ENSMUSP00000001652	10090.ENSMUSP00000023589	0	0.204	0	0.981	0.984
C1qbp	Kng1	10090.ENSMUSP00000077612	10090.ENSMUSP00000023589	0	0.059	0	0.524	0.532
C1qbp	Klkb1	10090.ENSMUSP00000077612	10090.ENSMUSP00000026907	0	0	0.500	0	0.499
C1qbp	Kng2	10090.ENSMUSP00000077612	10090.ENSMUSP00000097623	0	0	0.700	0	0.700
Fgb	Kng1	10090.ENSMUSP00000039472	10090.ENSMUSP00000023589	0	0.329	0	0.331	0.532
Gnaq	Kng1	10090.ENSMUSP00000025541	10090.ENSMUSP00000023589	0	0	0	0.559	0.559
Klk4	Kng1	10090.ENSMUSP00000007161	10090.ENSMUSP00000023589	0	0	0	0.527	0.527
Klkb1	Kng1	10090.ENSMUSP00000026907	10090.ENSMUSP00000023589	0	0.222	0	0.526	0.615
Klkb1	Kng2	10090.ENSMUSP00000026907	10090.ENSMUSP00000097623	0	0	0.500	0	0.499
Kng1	Tac1	10090.ENSMUSP00000023589	10090.ENSMUSP00000139347	0	0	0	0.852	0.852
Kng1	Kng2	10090.ENSMUSP00000023589	10090.ENSMUSP00000097623	0	0	0.900	0	0.900
